session,region,state,event_type,time_s,amplitude_z
dec4,dHPC,baseline,negative_slow_deflection,175.736,-1.7475688715924165
dec4,dHPC,baseline,negative_slow_deflection,176.748,-1.5962990201051832
dec4,dHPC,baseline,positive_slow_deflection,177.944,1.53785942649884
dec4,dHPC,baseline,negative_slow_deflection,178.364,-1.8527814715637951
dec4,dHPC,baseline,negative_slow_deflection,179.156,-2.2204582138865288
dec4,dHPC,baseline,positive_slow_deflection,180.104,2.6216876869610215
dec4,dHPC,baseline,positive_slow_deflection,180.892,1.7495754630313347
dec4,dHPC,baseline,negative_slow_deflection,181.044,-1.8206860886776726
dec4,dHPC,baseline,negative_slow_deflection,182.232,-2.1849551993874776
dec4,dHPC,baseline,positive_slow_deflection,183.052,1.5815494315792413
dec4,dHPC,baseline,negative_slow_deflection,183.812,-1.8112055113522079
dec4,dHPC,baseline,positive_slow_deflection,185.044,1.5024638728488084
dec4,dHPC,baseline,negative_slow_deflection,185.956,-1.5467121644423898
dec4,dHPC,baseline,negative_slow_deflection,186.596,-1.5335859089630897
dec4,dHPC,baseline,negative_slow_deflection,188.324,-2.0588429682210143
dec4,dHPC,baseline,positive_slow_deflection,188.508,1.5582271964847434
dec4,dHPC,baseline,positive_slow_deflection,188.772,1.589364753168209
dec4,dHPC,baseline,negative_slow_deflection,188.916,-1.7417103827245708
dec4,dHPC,baseline,positive_slow_deflection,189.324,1.5696330619003978
dec4,dHPC,baseline,negative_slow_deflection,189.472,-2.9046628598959603
dec4,dHPC,baseline,positive_slow_deflection,189.64,2.241236205296418
dec4,dHPC,baseline,negative_slow_deflection,190.82,-1.9538020188836198
dec4,dHPC,baseline,positive_slow_deflection,193.12,2.397271803859311
dec4,dHPC,baseline,negative_slow_deflection,193.396,-3.8872104487187342
dec4,dHPC,baseline,negative_slow_deflection,194.504,-1.714534239405053
dec4,dHPC,baseline,negative_slow_deflection,196.252,-1.5311590688774002
dec4,dHPC,baseline,positive_slow_deflection,196.428,1.5808011000131863
dec4,dHPC,baseline,negative_slow_deflection,197.032,-1.6863441986403886
dec4,dHPC,baseline,positive_slow_deflection,197.184,2.1939797050293874
dec4,dHPC,baseline,negative_slow_deflection,197.332,-1.712126270127027
dec4,dHPC,baseline,positive_slow_deflection,197.612,1.939728415455565
dec4,dHPC,baseline,negative_slow_deflection,197.78,-2.7019319139697333
dec4,dHPC,baseline,positive_slow_deflection,198.588,2.9209041474872035
dec4,dHPC,baseline,positive_slow_deflection,200.452,2.9284211016873614
dec4,dHPC,baseline,negative_slow_deflection,200.68,-4.175692171821241
dec4,dHPC,baseline,positive_slow_deflection,201.06,1.7275208698039946
dec4,dHPC,baseline,positive_slow_deflection,201.392,1.7740025119753777
dec4,dHPC,baseline,negative_slow_deflection,201.624,-2.964083695462453
dec4,dHPC,baseline,positive_slow_deflection,201.792,1.7547847447629503
dec4,dHPC,baseline,positive_slow_deflection,202.348,2.2982637197025624
dec4,dHPC,baseline,negative_slow_deflection,202.744,-2.203181946234896
dec4,dHPC,baseline,positive_slow_deflection,204.232,1.522746194882404
dec4,dHPC,baseline,negative_slow_deflection,205.336,-1.9429846851728074
dec4,dHPC,baseline,positive_slow_deflection,206.26,3.295115772858938
dec4,dHPC,baseline,negative_slow_deflection,206.452,-4.751178369723873
dec4,dHPC,baseline,positive_slow_deflection,207.004,1.9351551577489783
dec4,dHPC,baseline,negative_slow_deflection,207.504,-1.5676250278296053
dec4,dHPC,baseline,positive_slow_deflection,211.664,1.7197600542240687
dec4,dHPC,baseline,negative_slow_deflection,211.892,-2.6702275800278943
dec4,dHPC,baseline,positive_slow_deflection,212.644,2.253479972316071
dec4,dHPC,baseline,negative_slow_deflection,212.96,-2.2381682822298865
dec4,dHPC,baseline,negative_slow_deflection,214.104,-1.6858835260487615
dec4,dHPC,baseline,positive_slow_deflection,214.36,2.057210316711774
dec4,dHPC,baseline,negative_slow_deflection,214.868,-2.61354979800359
dec4,dHPC,baseline,positive_slow_deflection,215.688,2.569659986152596
dec4,dHPC,baseline,negative_slow_deflection,215.872,-4.183091370204579
dec4,dHPC,baseline,positive_slow_deflection,217.508,1.7337354063729
dec4,dHPC,baseline,negative_slow_deflection,217.692,-2.098467282241245
dec4,dHPC,baseline,positive_slow_deflection,217.88,1.659034846628388
dec4,dHPC,baseline,negative_slow_deflection,219.376,-1.8820514584103567
dec4,dHPC,baseline,positive_slow_deflection,219.54,2.3553697302210197
dec4,dHPC,baseline,negative_slow_deflection,220.148,-1.504766319301803
dec4,dHPC,baseline,positive_slow_deflection,220.404,1.9288027318156558
dec4,dHPC,baseline,negative_slow_deflection,220.576,-1.944677515650399
dec4,dHPC,baseline,positive_slow_deflection,220.74,2.5384977095690036
dec4,dHPC,baseline,negative_slow_deflection,220.932,-2.8872607918035773
dec4,dHPC,baseline,positive_slow_deflection,221.18,1.5608826326674083
dec4,dHPC,baseline,negative_slow_deflection,221.84,-1.6817247074239443
dec4,dHPC,baseline,negative_slow_deflection,224.132,-1.927297138956466
dec4,dHPC,baseline,positive_slow_deflection,224.5,2.8049956683736457
dec4,dHPC,baseline,positive_slow_deflection,225.032,1.7229998356034326
dec4,dHPC,baseline,negative_slow_deflection,225.444,-2.9632564278600246
dec4,dHPC,baseline,positive_slow_deflection,225.604,1.7704232479247397
dec4,dHPC,baseline,positive_slow_deflection,225.872,2.0525455842719698
