condition,channel,n_trials,mean_abs_lfp,pre_abs_lfp,stim_abs_lfp,recovery_abs_lfp,stim_minus_pre_abs_lfp
amp100_freq5,72,50,1567.0618896484375,1552.8463134765625,1578.8209228515625,1546.05078125,25.974609375
amp100_freq5,73,50,747.2232666015625,732.29736328125,753.9114379882812,742.0839233398438,21.61407470703125
amp100_freq5,74,50,538.2469482421875,518.2360229492188,546.2012329101562,534.4080200195312,27.9652099609375
amp100_freq5,75,50,566.8245239257812,539.5096435546875,575.6634521484375,567.6129150390625,36.15380859375
amp100_freq5,76,50,812.5611572265625,779.6586303710938,821.3744506835938,819.0197143554688,41.7158203125
amp100_freq5,77,50,1581.6392822265625,1541.63818359375,1592.2088623046875,1589.90869140625,50.5706787109375
amp100_freq5,78,50,1282.4814453125,1249.798095703125,1291.089111328125,1289.3787841796875,41.291015625
amp100_freq5,79,50,567.1113891601562,545.80029296875,574.0159301757812,567.7049560546875,28.21563720703125
amp100_freq5,80,50,308.5424499511719,297.2244873046875,310.9247131347656,312.71624755859375,13.700225830078125
amp100_freq5,81,50,637.67236328125,614.5377807617188,639.7850341796875,654.4524536132812,25.24725341796875
amp100_freq5,82,50,626.8673706054688,602.3512573242188,629.6077270507812,643.1749877929688,27.2564697265625
amp100_freq5,83,50,614.568115234375,587.468505859375,618.2135009765625,630.7289428710938,30.7449951171875
amp100_freq5,84,50,574.9553833007812,547.8485107421875,578.947509765625,590.0753784179688,31.0989990234375
amp100_freq5,85,50,506.1519470214844,482.56317138671875,509.6742248535156,519.1702270507812,27.111053466796875
amp100_freq5,86,50,459.85260009765625,440.24609375,462.7612609863281,470.732421875,22.515167236328125
amp100_freq5,87,50,447.2709045410156,431.6000061035156,449.1528625488281,457.3052978515625,17.5528564453125
amp100_freq5,88,50,239.0072021484375,229.2761993408203,241.46287536621094,241.3697967529297,12.186676025390625
amp100_freq5,89,50,190.81106567382812,181.0781707763672,194.64381408691406,189.0399627685547,13.565643310546875
amp100_freq5,90,50,206.2626190185547,197.06541442871094,210.32704162597656,203.26693725585938,13.261627197265625
amp100_freq5,91,50,246.72900390625,236.32957458496094,251.18215942382812,243.7701416015625,14.852584838867188
amp100_freq5,92,50,325.8901062011719,311.5599060058594,331.783203125,322.5346374511719,20.223297119140625
amp100_freq5,93,50,501.9037170410156,490.42156982421875,507.1432189941406,497.66986083984375,16.721649169921875
amp100_freq5,94,50,957.4690551757812,944.8516845703125,962.6638793945312,954.4842529296875,17.81219482421875
amp100_freq5,95,50,1158.308349609375,1140.5615234375,1165.3895263671875,1154.8133544921875,24.8280029296875
amp100_freq5,96,50,617.5341796875,609.4069213867188,619.7437133789062,619.0386962890625,10.3367919921875
amp100_freq5,97,50,756.4581909179688,745.8361206054688,759.5020751953125,757.9663696289062,13.66595458984375
amp100_freq5,98,50,910.5177612304688,895.7828369140625,915.2614135742188,911.0045776367188,19.47857666015625
amp100_freq5,99,50,1051.29150390625,1033.6505126953125,1057.473388671875,1050.37158203125,23.8228759765625
amp100_freq5,100,50,1191.2451171875,1171.637451171875,1198.419677734375,1189.3258056640625,26.7822265625
amp100_freq5,101,50,1317.3372802734375,1295.928955078125,1325.7130126953125,1313.60498046875,29.7840576171875
amp100_freq5,102,50,1414.8411865234375,1392.71630859375,1423.591796875,1410.7120361328125,30.87548828125
amp100_freq5,103,50,1440.377685546875,1415.7447509765625,1450.3238525390625,1435.14013671875,34.5791015625
amp100_freq5,104,50,1419.099853515625,1395.8369140625,1428.201416015625,1415.03466796875,32.364501953125
amp100_freq5,105,50,1394.6590576171875,1370.5089111328125,1404.1998291015625,1390.1712646484375,33.69091796875
amp100_freq5,106,50,1336.3389892578125,1313.596435546875,1344.9927978515625,1333.09375,31.3963623046875
amp100_freq5,107,50,1246.6968994140625,1226.38671875,1253.8546142578125,1245.536865234375,27.4678955078125
amp100_freq5,108,50,1139.20654296875,1120.2593994140625,1145.0977783203125,1140.461669921875,24.83837890625
amp100_freq5,109,50,1007.890625,991.0053100585938,1012.5023803710938,1010.933837890625,21.4970703125
amp100_freq5,110,50,849.126953125,835.6788940429688,852.611572265625,852.1380004882812,16.93267822265625
amp100_freq5,111,50,728.21630859375,718.6906127929688,730.363037109375,731.3086547851562,11.67242431640625
amp100_freq5,112,50,552.7537231445312,533.4205932617188,555.1634521484375,564.8562622070312,21.74285888671875
amp100_freq5,113,50,559.2112426757812,539.213623046875,561.8663940429688,571.2352294921875,22.65277099609375
amp100_freq5,114,50,408.27294921875,392.53912353515625,411.2063293457031,415.2053527832031,18.667205810546875
amp100_freq5,115,50,568.8485107421875,546.3607788085938,572.4627685546875,580.50439453125,26.10198974609375
amp100_freq5,116,50,563.4771728515625,540.9114990234375,567.563232421875,573.790283203125,26.6517333984375
amp100_freq5,117,50,559.6699829101562,537.17041015625,564.0601806640625,568.9774169921875,26.8897705078125
amp100_freq5,118,50,559.7238159179688,535.8527221679688,564.8394165039062,568.2470703125,28.9866943359375
amp100_freq5,119,50,556.9493408203125,532.8800659179688,562.2875366210938,565.0009155273438,29.407470703125
amp100_freq5,120,50,544.0488891601562,520.7245483398438,548.8021850585938,553.1063232421875,28.07763671875
amp100_freq5,121,50,481.87152099609375,460.1564025878906,485.94482421875,491.3613586425781,25.788421630859375
