trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,pre_abs,on_abs,off_abs,on_delta,off_delta,on_minus_off
1005,amp180_freq26,180,26,A_dHPC_96-127,31,116.37646484375,115.57039642333984,103.9490737915039,-0.8060684204101562,-12.427391052246094,11.621322631835938
1005,amp180_freq26,180,26,B_LEC_128-191,51,81.25543975830078,82.74807739257812,70.08033752441406,1.4926376342773438,-11.175102233886719,12.667739868164062
1005,amp180_freq26,180,26,B_LEC_192-255,32,62.59127426147461,53.80064392089844,46.52888488769531,-8.790630340576172,-16.062389373779297,7.271759033203125
1006,amp250_freq10,250,10,A_dHPC_0-31,32,257.4796142578125,205.52688598632812,209.68389892578125,-51.952728271484375,-47.79571533203125,-4.157012939453125
1006,amp250_freq10,250,10,A_dHPC_32-63,32,204.95379638671875,184.8725128173828,195.4616241455078,-20.081283569335938,-9.492172241210938,-10.589111328125
1006,amp250_freq10,250,10,A_dHPC_64-95,32,147.92237854003906,143.8184356689453,158.4365997314453,-4.10394287109375,10.51422119140625,-14.6181640625
1006,amp250_freq10,250,10,A_dHPC_96-127,31,121.15613555908203,119.3138198852539,114.00772094726562,-1.842315673828125,-7.148414611816406,5.306098937988281
1006,amp250_freq10,250,10,B_LEC_128-191,51,75.30774688720703,77.33328247070312,74.06402587890625,2.0255355834960938,-1.2437210083007812,3.269256591796875
1006,amp250_freq10,250,10,B_LEC_192-255,32,37.21037673950195,51.42392349243164,44.731998443603516,14.213546752929688,7.5216217041015625,6.691925048828125
1007,amp100_freq50,100,50,A_dHPC_0-31,32,233.69825744628906,174.8943328857422,194.76998901367188,-58.803924560546875,-38.92826843261719,-19.875656127929688
1007,amp100_freq50,100,50,A_dHPC_32-63,32,212.99819946289062,158.02381896972656,184.29782104492188,-54.97438049316406,-28.70037841796875,-26.274002075195312
1007,amp100_freq50,100,50,A_dHPC_64-95,32,151.39234924316406,161.40719604492188,158.42471313476562,10.014846801757812,7.0323638916015625,2.98248291015625
1007,amp100_freq50,100,50,A_dHPC_96-127,31,125.17659759521484,106.5302505493164,123.31979370117188,-18.646347045898438,-1.8568038940429688,-16.78954315185547
1007,amp100_freq50,100,50,B_LEC_128-191,51,80.92757415771484,75.88280487060547,74.49784088134766,-5.044769287109375,-6.4297332763671875,1.3849639892578125
1007,amp100_freq50,100,50,B_LEC_192-255,32,34.78642654418945,47.57073974609375,59.53801727294922,12.784313201904297,24.751590728759766,-11.967277526855469
1008,amp100_freq26,100,26,A_dHPC_0-31,32,252.51019287109375,211.604248046875,201.13316345214844,-40.90594482421875,-51.37702941894531,10.471084594726562
1008,amp100_freq26,100,26,A_dHPC_32-63,32,233.81747436523438,186.9936981201172,172.7949676513672,-46.82377624511719,-61.02250671386719,14.19873046875
1008,amp100_freq26,100,26,A_dHPC_64-95,32,173.48902893066406,159.72776794433594,160.44264221191406,-13.761260986328125,-13.04638671875,-0.714874267578125
1008,amp100_freq26,100,26,A_dHPC_96-127,31,139.61619567871094,120.3962173461914,108.47441101074219,-19.21997833251953,-31.14178466796875,11.921806335449219
1008,amp100_freq26,100,26,B_LEC_128-191,51,79.81182861328125,69.40157318115234,82.78343200683594,-10.410255432128906,2.9716033935546875,-13.381858825683594
1008,amp100_freq26,100,26,B_LEC_192-255,32,38.20927429199219,54.07954788208008,39.69153594970703,15.87027359008789,1.4822616577148438,14.388011932373047
1009,amp250_freq26,250,26,A_dHPC_0-31,32,195.27272033691406,191.59742736816406,207.250732421875,-3.67529296875,11.978012084960938,-15.653305053710938
1009,amp250_freq26,250,26,A_dHPC_32-63,32,197.00196838378906,187.89085388183594,224.53639221191406,-9.111114501953125,27.534423828125,-36.645538330078125
1009,amp250_freq26,250,26,A_dHPC_64-95,32,178.8596954345703,153.27296447753906,193.60499572753906,-25.58673095703125,14.74530029296875,-40.33203125
1009,amp250_freq26,250,26,A_dHPC_96-127,31,121.05113983154297,108.00833892822266,127.75723266601562,-13.042800903320312,6.706092834472656,-19.74889373779297
1009,amp250_freq26,250,26,B_LEC_128-191,51,84.242431640625,80.0722885131836,83.57284545898438,-4.170143127441406,-0.669586181640625,-3.5005569458007812
1009,amp250_freq26,250,26,B_LEC_192-255,32,38.053462982177734,45.265220642089844,48.10988235473633,7.211757659912109,10.056419372558594,-2.8446617126464844
1010,amp100_freq50,100,50,A_dHPC_0-31,32,199.89190673828125,188.95310974121094,247.66065979003906,-10.938796997070312,47.76875305175781,-58.707550048828125
1010,amp100_freq50,100,50,A_dHPC_32-63,32,209.92770385742188,189.71578979492188,249.47239685058594,-20.2119140625,39.54469299316406,-59.75660705566406
1010,amp100_freq50,100,50,A_dHPC_64-95,32,188.3646240234375,161.6848602294922,223.56614685058594,-26.679763793945312,35.20152282714844,-61.88128662109375
1010,amp100_freq50,100,50,A_dHPC_96-127,31,121.68254852294922,125.82012176513672,160.5689239501953,4.1375732421875,38.886375427246094,-34.748802185058594
1010,amp100_freq50,100,50,B_LEC_128-191,51,91.68930053710938,78.91805267333984,80.91229248046875,-12.771247863769531,-10.777008056640625,-1.9942398071289062
1010,amp100_freq50,100,50,B_LEC_192-255,32,41.43495178222656,46.026729583740234,36.171844482421875,4.591777801513672,-5.2631072998046875,9.85488510131836
1011,amp100_freq26,100,26,A_dHPC_0-31,32,259.31585693359375,204.78965759277344,193.02444458007812,-54.52619934082031,-66.29141235351562,11.765213012695312
1011,amp100_freq26,100,26,A_dHPC_32-63,32,294.919921875,200.20501708984375,188.99874877929688,-94.71490478515625,-105.92117309570312,11.206268310546875
1011,amp100_freq26,100,26,A_dHPC_64-95,32,266.192138671875,157.09524536132812,146.06991577148438,-109.09689331054688,-120.12222290039062,11.02532958984375
1011,amp100_freq26,100,26,A_dHPC_96-127,31,175.7999725341797,123.5615005493164,120.72846221923828,-52.23847198486328,-55.071510314941406,2.833038330078125
1011,amp100_freq26,100,26,B_LEC_128-191,51,80.19660949707031,79.71273040771484,71.29712677001953,-0.48387908935546875,-8.899482727050781,8.415603637695312
1011,amp100_freq26,100,26,B_LEC_192-255,32,37.04505157470703,39.35489273071289,44.08585739135742,2.3098411560058594,7.040805816650391,-4.730964660644531
1012,amp100_freq50,100,50,A_dHPC_0-31,32,180.1836395263672,231.7421417236328,240.07424926757812,51.558502197265625,59.89060974121094,-8.332107543945312
1012,amp100_freq50,100,50,A_dHPC_32-63,32,173.3499755859375,193.91860961914062,223.496826171875,20.568634033203125,50.1468505859375,-29.578216552734375
1012,amp100_freq50,100,50,A_dHPC_64-95,32,132.5489501953125,170.57443237304688,170.38299560546875,38.025482177734375,37.83404541015625,0.191436767578125
1012,amp100_freq50,100,50,A_dHPC_96-127,31,111.40387725830078,132.7684326171875,127.3111801147461,21.36455535888672,15.907302856445312,5.457252502441406
1012,amp100_freq50,100,50,B_LEC_128-191,51,76.91051483154297,73.05035400390625,88.78030395507812,-3.8601608276367188,11.869789123535156,-15.729949951171875
1012,amp100_freq50,100,50,B_LEC_192-255,32,44.216548919677734,41.21009826660156,41.565330505371094,-3.006450653076172,-2.6512184143066406,-0.35523223876953125
1013,amp180_freq10,180,10,A_dHPC_0-31,32,216.0064697265625,216.61595153808594,226.70608520507812,0.6094818115234375,10.699615478515625,-10.090133666992188
