trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,sustained_broadband_delta,offset_broadband_delta,driven_power_log2_delta
919,amp250_freq26,250,26,Group 32-63,28,-32.27403259277344,-14.561172485351562,1.157856369079401
919,amp250_freq26,250,26,Group 0-31,29,-52.31065368652344,-106.24946594238281,0.7948311980662789
920,amp180_freq5,180,5,Group 96-127,32,21.38098907470703,-29.9771728515625,2.6769730304189445
920,amp180_freq5,180,5,Group 64-95,30,24.971328735351562,-16.58917999267578,0.9361266730480263
920,amp180_freq5,180,5,Group 32-63,28,19.622299194335938,-21.067535400390625,-0.18309880524717617
920,amp180_freq5,180,5,Group 0-31,29,35.29048156738281,-32.781646728515625,1.7598265403534674
921,amp180_freq26,180,26,Group 96-127,32,8.399063110351562,1.8590545654296875,-1.82155934230837
921,amp180_freq26,180,26,Group 64-95,30,-14.719741821289062,-45.15757751464844,-3.275474402393254
921,amp180_freq26,180,26,Group 32-63,28,12.471817016601562,22.957809448242188,-4.003710013233969
921,amp180_freq26,180,26,Group 0-31,29,33.8109130859375,49.45794677734375,-2.892961719862158
922,amp250_freq5,250,5,Group 96-127,32,19.038291931152344,38.53276824951172,1.3992606587228014
922,amp250_freq5,250,5,Group 64-95,30,41.45952606201172,-8.772819519042969,0.0889045631886499
922,amp250_freq5,250,5,Group 32-63,28,15.118789672851562,-22.849456787109375,-0.06802548859079768
922,amp250_freq5,250,5,Group 0-31,29,22.304580688476562,-37.765289306640625,-0.508557611353491
923,amp180_freq26,180,26,Group 96-127,32,17.87316131591797,13.843048095703125,-1.4550260812849445
923,amp180_freq26,180,26,Group 64-95,30,30.987533569335938,30.541534423828125,0.30025142424711554
923,amp180_freq26,180,26,Group 32-63,28,41.368621826171875,41.72886657714844,0.31476141986815004
923,amp180_freq26,180,26,Group 0-31,29,35.608642578125,31.607681274414062,2.0292664877425306
924,amp180_freq26,180,26,Group 96-127,32,-13.446052551269531,71.26752471923828,0.34119265571694524
924,amp180_freq26,180,26,Group 64-95,30,-38.595550537109375,-3.45684814453125,0.6985391024454071
924,amp180_freq26,180,26,Group 32-63,28,-29.900238037109375,107.6168212890625,1.247943695988614
924,amp180_freq26,180,26,Group 0-31,29,-37.8162841796875,-44.984375,-0.3201178782788215
925,amp100_freq26,100,26,Group 96-127,32,3.07391357421875,-33.21160125732422,1.4216253970933128
925,amp100_freq26,100,26,Group 64-95,30,-14.391448974609375,-57.119102478027344,0.40668839882911034
925,amp100_freq26,100,26,Group 32-63,28,28.30535888671875,-54.241851806640625,1.0465788996714385
925,amp100_freq26,100,26,Group 0-31,29,42.03895568847656,7.399200439453125,1.9571505748954268
926,amp180_freq5,180,5,Group 96-127,32,-13.465179443359375,59.832000732421875,-2.4840709520970905
926,amp180_freq5,180,5,Group 64-95,30,57.1766357421875,115.6744384765625,0.2442840679597707
926,amp180_freq5,180,5,Group 32-63,28,-0.7213897705078125,67.70578002929688,0.8259718555865506
926,amp180_freq5,180,5,Group 0-31,29,2.0542755126953125,186.2766876220703,-0.2661786925495263
927,amp100_freq5,100,5,Group 96-127,32,21.17760467529297,41.439613342285156,0.012892334058053187
927,amp100_freq5,100,5,Group 64-95,30,39.964134216308594,76.23714447021484,-0.5755660934815515
927,amp100_freq5,100,5,Group 32-63,28,29.913803100585938,47.82273864746094,0.5192976314354671
927,amp100_freq5,100,5,Group 0-31,29,57.3961181640625,46.35856628417969,-0.669316173706176
928,amp180_freq26,180,26,Group 96-127,32,-24.225791931152344,-51.05549621582031,0.7401149213628458
928,amp180_freq26,180,26,Group 64-95,30,-9.210861206054688,-35.94587707519531,-1.3292670884818203
928,amp180_freq26,180,26,Group 32-63,28,-14.031814575195312,-30.62531280517578,-0.4795356897284511
928,amp180_freq26,180,26,Group 0-31,29,-15.14349365234375,-28.34771728515625,-1.2681780656908792
929,amp180_freq26,180,26,Group 96-127,32,-6.515625,-1.4330902099609375,-1.4846645499030717
929,amp180_freq26,180,26,Group 64-95,30,-3.3568115234375,19.881393432617188,0.35185553305689365
929,amp180_freq26,180,26,Group 32-63,28,-14.116584777832031,-11.830337524414062,-0.0021065510029324953
929,amp180_freq26,180,26,Group 0-31,29,-7.9519805908203125,14.102294921875,-0.36426511986865284
930,amp250_freq26,250,26,Group 96-127,32,-3.2978515625,-3.3859634399414062,-1.0075999323407099
930,amp250_freq26,250,26,Group 64-95,30,39.791046142578125,24.981216430664062,2.0735779137633514
930,amp250_freq26,250,26,Group 32-63,28,1.3215789794921875,16.845687866210938,2.0653239974454203
930,amp250_freq26,250,26,Group 0-31,29,-2.9425048828125,-44.46958923339844,0.1757157366841053
931,amp250_freq5,250,5,Group 96-127,32,3.3919448852539062,13.089561462402344,4.023779552673478
931,amp250_freq5,250,5,Group 64-95,30,30.052108764648438,41.31574249267578,2.688526289705498
931,amp250_freq5,250,5,Group 32-63,28,24.668975830078125,24.635597229003906,2.404858037869933
931,amp250_freq5,250,5,Group 0-31,29,52.45899963378906,32.955047607421875,2.0974419380659692
932,amp250_freq26,250,26,Group 96-127,32,5.726982116699219,0.20317840576171875,-1.0012745546607595
932,amp250_freq26,250,26,Group 64-95,30,10.04913330078125,2.115234375,1.4058131520330266
932,amp250_freq26,250,26,Group 32-63,28,3.2574005126953125,-55.7301025390625,1.3341262813663062
932,amp250_freq26,250,26,Group 0-31,29,24.197982788085938,-43.556732177734375,1.1922678408363567
933,amp180_freq5,180,5,Group 96-127,32,-13.796920776367188,-34.47846221923828,-2.61280877852346
933,amp180_freq5,180,5,Group 64-95,30,-8.016448974609375,-10.529678344726562,-3.5603733680112555
933,amp180_freq5,180,5,Group 32-63,28,-16.513832092285156,-17.04511260986328,-2.862486890465639
933,amp180_freq5,180,5,Group 0-31,29,4.213897705078125,38.66325378417969,-1.1997422004457599
934,amp250_freq5,250,5,Group 96-127,32,28.198768615722656,-6.1349945068359375,2.911575457126365
934,amp250_freq5,250,5,Group 64-95,30,-3.3480758666992188,32.54893493652344,1.2592523192058551
934,amp250_freq5,250,5,Group 32-63,28,15.607391357421875,-34.09789276123047,2.2543839062081363
934,amp250_freq5,250,5,Group 0-31,29,13.949722290039062,-74.82152557373047,2.308643223046011
935,amp250_freq26,250,26,Group 96-127,32,13.798675537109375,17.185203552246094,3.043622442036982
935,amp250_freq26,250,26,Group 64-95,30,21.752891540527344,60.754676818847656,0.8971625270340571
935,amp250_freq26,250,26,Group 32-63,28,23.148056030273438,5.447807312011719,-0.7774955328190453
935,amp250_freq26,250,26,Group 0-31,29,31.67193603515625,28.39715576171875,-0.05126724857300058
936,amp250_freq5,250,5,Group 96-127,32,-11.202255249023438,56.27802276611328,-0.45731713041602257
936,amp250_freq5,250,5,Group 64-95,30,-23.394180297851562,306.58595275878906,0.9675633485392487
936,amp250_freq5,250,5,Group 32-63,28,1.7433853149414062,102.9388198852539,0.347700664511861
936,amp250_freq5,250,5,Group 0-31,29,-3.9113311767578125,202.8755645751953,-1.8224800698157844
937,amp180_freq26,180,26,Group 96-127,32,-23.99993133544922,-39.33634948730469,-1.363222736119656
937,amp180_freq26,180,26,Group 64-95,30,-41.92378234863281,-23.316574096679688,-1.7039551405270708
937,amp180_freq26,180,26,Group 32-63,28,-42.70367431640625,-63.34083557128906,-2.289788975047234
937,amp180_freq26,180,26,Group 0-31,29,-31.696151733398438,-53.94126892089844,-0.472134295660282
938,amp100_freq5,100,5,Group 96-127,32,-33.88600158691406,-29.91577911376953,0.15695457388379377
938,amp100_freq5,100,5,Group 64-95,30,-35.58033752441406,-55.20967102050781,0.34099803568964704
938,amp100_freq5,100,5,Group 32-63,28,-27.696197509765625,-32.59576416015625,2.517760659327069
938,amp100_freq5,100,5,Group 0-31,29,-72.57542419433594,-131.7442169189453,1.328204563498069
939,amp180_freq26,180,26,Group 96-127,32,-19.458030700683594,-22.49236297607422,-0.5017554105705955
939,amp180_freq26,180,26,Group 64-95,30,-78.037109375,-35.152862548828125,-0.14487056783673127
939,amp180_freq26,180,26,Group 32-63,28,-62.003753662109375,56.409698486328125,0.24975283504178716
939,amp180_freq26,180,26,Group 0-31,29,-106.910888671875,-42.54052734375,-1.1168499752161467
940,amp180_freq26,180,26,Group 96-127,32,7.6477508544921875,30.911354064941406,-0.7417478400650227
940,amp180_freq26,180,26,Group 64-95,30,39.38409423828125,18.530075073242188,-0.948010151214787
940,amp180_freq26,180,26,Group 32-63,28,16.575157165527344,53.49730682373047,0.5716970659203077
940,amp180_freq26,180,26,Group 0-31,29,29.738006591796875,-3.114501953125,0.9687330391923679
