trial_number,condition,amplitude,frequency,recording_start_time_s,movement
1905,amp100_freq5,100,5,14210.780025,49.40956434905206
1906,amp100_freq26,100,26,14216.780025,86.80001717586855
1907,amp180_freq5,180,5,14222.780025,42.91138129086957
1908,amp180_freq5,180,5,14228.780025,46.72290230545186
1909,amp100_freq26,100,26,14234.780025,53.149140246751806
1910,amp250_freq50,250,50,14240.780025,51.03676746656794
1911,amp180_freq26,180,26,14246.780025,53.70172511345363
1912,amp180_freq10,180,10,14252.780025,51.05650270128963
1913,amp250_freq10,250,10,14258.780025,48.53778879882623
1914,amp100_freq50,100,50,14264.780025,48.458630912354764
1915,amp250_freq10,250,10,14270.780025,130.34145190687588
1916,amp180_freq50,180,50,14276.780025,56.83522959839706
1917,amp250_freq26,250,26,14282.780025,62.72034318067381
1918,amp250_freq26,250,26,14288.780025,51.43097287349459
1919,amp250_freq50,250,50,14294.780025,53.08138092909389
1920,amp100_freq50,100,50,14300.780025,46.31745490695837
1921,amp100_freq5,100,5,14306.780025,110.51543062005021
1922,amp180_freq10,180,10,14312.780025,107.6019303608374
1923,amp180_freq10,180,10,14318.780025,48.45043097318845
1924,amp250_freq5,250,5,14324.780025,50.230020423406835
1925,amp180_freq5,180,5,14330.780025,62.8156290084945
1926,amp250_freq50,250,50,14336.780025,109.68006293279225
1927,amp180_freq5,180,5,14342.780025,54.82665057841284
1928,amp250_freq50,250,50,14348.780025,62.34863880226942
1929,amp100_freq26,100,26,14354.780025,57.86485791890869
1930,amp250_freq26,250,26,14360.780025,99.90195277266825
1931,amp180_freq50,180,50,14366.780025,97.47694446955325
1932,amp250_freq26,250,26,14372.780025,47.53221070886532
1933,amp180_freq10,180,10,14378.780025,145.40336735873333
1934,amp100_freq50,100,50,14384.780025,56.247866059975976
1935,amp180_freq50,180,50,14390.780025,103.6054270433833
1936,amp180_freq50,180,50,14396.780025,57.41975996876826
1937,amp100_freq5,100,5,14402.780025,52.52990021973001
1938,amp180_freq50,180,50,14408.780025,55.93920151523706
1939,amp250_freq50,250,50,14414.780025,63.93772862211891
1940,amp100_freq10,100,10,14420.780025,53.915572001530414
1941,amp100_freq50,100,50,14426.780025,53.684815945719826
