condition,amplitude,frequency,channel,shank,n_trials,pre_abs_lfp,onset_abs_lfp,sustained_abs_lfp,offset_abs_lfp,recovery_abs_lfp,onset_minus_pre_abs_lfp,sustained_minus_pre_abs_lfp,offset_minus_pre_abs_lfp,recovery_minus_pre_abs_lfp
amp100_freq26,100,26,10,Section 4 (0-31),100,1089.691650390625,1204.290771484375,1138.0601806640625,1210.7347412109375,1131.906005859375,114.59912109375,48.3685302734375,121.0430908203125,42.21435546875
amp100_freq26,100,26,11,Section 4 (0-31),100,929.2723388671875,1010.7667236328125,966.3368530273438,1015.9452514648438,964.6674194335938,81.494384765625,37.06451416015625,86.67291259765625,35.39508056640625
amp100_freq26,100,26,12,Section 4 (0-31),100,821.9996948242188,878.1166381835938,844.439208984375,870.98095703125,849.4585571289062,56.116943359375,22.43951416015625,48.98126220703125,27.4588623046875
amp100_freq26,100,26,13,Section 4 (0-31),100,776.489990234375,819.237548828125,791.1812744140625,805.6820678710938,799.1907348632812,42.74755859375,14.6912841796875,29.19207763671875,22.70074462890625
amp100_freq26,100,26,14,Section 4 (0-31),100,760.355224609375,791.0946655273438,769.526123046875,776.4530639648438,778.880615234375,30.73944091796875,9.1708984375,16.09783935546875,18.525390625
amp100_freq26,100,26,15,Section 4 (0-31),100,760.740966796875,782.3307495117188,767.0377807617188,771.1163940429688,779.5055541992188,21.58978271484375,6.29681396484375,10.37542724609375,18.76458740234375
amp100_freq26,100,26,16,Section 4 (0-31),100,603.9577026367188,593.572021484375,625.1852416992188,574.2159423828125,628.3876953125,-10.38568115234375,21.2275390625,-29.74176025390625,24.42999267578125
amp100_freq26,100,26,17,Section 4 (0-31),100,603.916015625,592.760498046875,624.7684326171875,571.4320678710938,628.158447265625,-11.155517578125,20.8524169921875,-32.48394775390625,24.242431640625
amp100_freq26,100,26,18,Section 4 (0-31),100,621.7681274414062,610.3760986328125,641.626220703125,584.895263671875,647.3184204101562,-11.39202880859375,19.85809326171875,-36.87286376953125,25.55029296875
amp100_freq26,100,26,19,Section 4 (0-31),100,640.9319458007812,630.409912109375,660.3080444335938,601.274658203125,667.5090942382812,-10.52203369140625,19.3760986328125,-39.65728759765625,26.5771484375
amp100_freq26,100,26,20,Section 4 (0-31),100,675.6534423828125,670.1442260742188,691.6627197265625,639.5210571289062,701.0028686523438,-5.50921630859375,16.00927734375,-36.13238525390625,25.34942626953125
amp100_freq26,100,26,21,Section 4 (0-31),100,723.5382690429688,719.6552124023438,736.062255859375,696.6255493164062,746.0507202148438,-3.883056640625,12.52398681640625,-26.9127197265625,22.512451171875
amp100_freq26,100,26,22,Section 4 (0-31),100,778.3262329101562,780.4630126953125,787.4951171875,761.6173095703125,799.0791625976562,2.13677978515625,9.16888427734375,-16.70892333984375,20.7529296875
amp100_freq26,100,26,23,Section 4 (0-31),100,852.456787109375,868.2822265625,860.296142578125,848.5448608398438,872.8883056640625,15.825439453125,7.83935546875,-3.91192626953125,20.4315185546875
amp100_freq26,100,26,24,Section 4 (0-31),100,1207.784912109375,1257.5135498046875,1233.9407958984375,1234.874267578125,1244.9913330078125,49.7286376953125,26.1558837890625,27.08935546875,37.2064208984375
amp100_freq26,100,26,25,Section 4 (0-31),100,1207.0260009765625,1257.444580078125,1232.933349609375,1233.8115234375,1244.0428466796875,50.4185791015625,25.9073486328125,26.7855224609375,37.016845703125
amp100_freq26,100,26,26,Section 4 (0-31),100,1207.864501953125,1258.20068359375,1233.9630126953125,1235.28955078125,1245.2086181640625,50.336181640625,26.0985107421875,27.425048828125,37.3441162109375
amp100_freq26,100,26,27,Section 4 (0-31),100,1203.646240234375,1253.115234375,1230.58984375,1230.067626953125,1241.8236083984375,49.468994140625,26.943603515625,26.42138671875,38.1773681640625
