condition,amplitude,frequency,trial_number,on_delta,off_delta,on_minus_off,condition_repeat_index,condition_repeat_fraction,epoch
amp100_freq26,100,26,885,-3.5673484802246094,4.824333190917969,-8.391681671142578,68,0.33668341708542715,middle
amp100_freq50,100,50,886,-5.848084131876628,4.195773442586263,-10.04385757446289,69,0.3417085427135678,middle
amp100_freq5,100,5,887,42.37726720174154,10.308401743570963,32.06886545817057,77,0.38190954773869346,middle
amp250_freq50,250,50,888,-29.600953420003254,-29.59747886657715,-0.003474553426106882,59,0.2914572864321608,early
amp250_freq5,250,5,889,4.453735987345378,25.471769332885742,-21.018033345540363,69,0.3417085427135678,middle
amp250_freq50,250,50,890,-12.773792266845703,12.128403345743815,-24.90219561258952,60,0.2964824120603015,early
amp100_freq5,100,5,891,36.028568267822266,-17.817445119222004,53.84601338704427,78,0.3869346733668342,middle
amp180_freq5,180,5,892,7.101001739501953,27.724185943603516,-20.623184204101562,76,0.3768844221105528,middle
amp100_freq10,100,10,893,12.95419184366862,23.745466232299805,-10.791274388631185,81,0.4020100502512563,middle
amp250_freq10,250,10,894,-14.994927088419596,-4.190244038899739,-10.804683049519857,82,0.40703517587939697,middle
amp100_freq50,100,50,895,-22.591519673665363,-18.941647211710613,-3.6498724619547525,70,0.34673366834170855,middle
amp180_freq26,180,26,896,3.4466349283854174,16.19419288635254,-12.747557957967123,78,0.3869346733668342,middle
amp100_freq50,100,50,897,11.828350067138672,0.6181767781575521,11.21017328898112,71,0.35175879396984927,middle
amp250_freq5,250,5,898,13.143026351928711,52.80073356628418,-39.65770721435547,70,0.34673366834170855,middle
amp250_freq26,250,26,899,-7.3318436940511065,-29.497539520263672,22.165695826212566,70,0.34673366834170855,middle
amp100_freq26,100,26,900,9.603629430135092,9.238661448160807,0.36496798197428326,69,0.3417085427135678,middle
amp250_freq5,250,5,901,-14.563738505045572,-29.66168721516927,15.097948710123697,71,0.35175879396984927,middle
amp100_freq10,100,10,902,42.81612014770508,42.39015452067057,0.4259656270345052,82,0.40703517587939697,middle
amp100_freq26,100,26,903,-14.905208587646484,-28.10092290242513,13.195714314778646,70,0.34673366834170855,middle
amp180_freq50,180,50,904,10.122982025146484,21.208659489949543,-11.08567746480306,89,0.44221105527638194,middle
amp100_freq26,100,26,905,-3.6076443990071616,16.423248926798504,-20.030893325805664,71,0.35175879396984927,middle
amp180_freq10,180,10,906,-27.18581994374593,-41.192956606547035,14.007136662801107,78,0.3869346733668342,middle
amp100_freq26,100,26,907,-1.4691117604573565,1.3038692474365234,-2.7729810078938804,72,0.35678391959798994,middle
amp180_freq26,180,26,908,-9.03611946105957,-12.950007120768229,3.9138876597086587,79,0.39195979899497485,middle
amp250_freq10,250,10,909,-25.74443753560384,-7.3919219970703125,-18.352515538533527,83,0.4120603015075377,middle
amp100_freq50,100,50,910,0.6054267883300781,12.558125813802084,-11.952699025472006,72,0.35678391959798994,middle
amp100_freq10,100,10,911,46.70980898539225,9.676921844482422,37.03288714090983,83,0.4120603015075377,middle
amp100_freq26,100,26,912,-11.572508494059244,-16.589852650960285,5.017344156901042,73,0.36180904522613067,middle
amp180_freq26,180,26,913,-7.155723571777344,1.9179821014404297,-9.073705673217773,80,0.3969849246231156,middle
amp100_freq26,100,26,914,-22.75264549255371,-10.236930847167969,-12.515714645385742,74,0.36683417085427134,middle
