trial_number,condition,amplitude,freq,recording_start_time_s,recording_end_time_s,on_start_s,on_end_s,off_start_s,off_end_s
222,amp100_freq5,100,5,4112.780025,4115.780025,4112.780025,4115.780025,4115.780025,4118.780025
223,amp180_freq10,180,10,4118.780025,4121.780025,4118.780025,4121.780025,4121.780025,4124.780025
224,amp100_freq50,100,50,4124.780025,4127.780025,4124.780025,4127.780025,4127.780025,4130.780025
225,amp100_freq26,100,26,4130.780025,4133.780025,4130.780025,4133.780025,4133.780025,4136.780025
226,amp100_freq26,100,26,4136.780025,4139.780025,4136.780025,4139.780025,4139.780025,4142.780025
227,amp180_freq50,180,50,4142.780025,4145.780025,4142.780025,4145.780025,4145.780025,4148.780025
228,amp100_freq10,100,10,4148.780025,4151.780025,4148.780025,4151.780025,4151.780025,4154.780025
229,amp180_freq50,180,50,4154.780025,4157.780025,4154.780025,4157.780025,4157.780025,4160.780025
230,amp250_freq50,250,50,4160.780025,4163.780025,4160.780025,4163.780025,4163.780025,4166.780025
231,amp250_freq50,250,50,4166.780025,4169.780025,4166.780025,4169.780025,4169.780025,4172.780025
232,amp180_freq26,180,26,4172.780025,4175.780025,4172.780025,4175.780025,4175.780025,4178.780025
233,amp100_freq26,100,26,4178.780025,4181.780025,4178.780025,4181.780025,4181.780025,4184.780025
234,amp250_freq26,250,26,4184.780025,4187.780025,4184.780025,4187.780025,4187.780025,4190.780025
235,amp250_freq10,250,10,4190.780025,4193.780025,4190.780025,4193.780025,4193.780025,4196.780025
236,amp100_freq5,100,5,4196.780025,4199.780025,4196.780025,4199.780025,4199.780025,4202.780025
237,amp180_freq5,180,5,4202.780025,4205.780025,4202.780025,4205.780025,4205.780025,4208.780025
238,amp250_freq5,250,5,4208.780025,4211.780025,4208.780025,4211.780025,4211.780025,4214.780025
239,amp100_freq50,100,50,4214.780025,4217.780025,4214.780025,4217.780025,4217.780025,4220.780025
240,amp180_freq26,180,26,4220.780025,4223.780025,4220.780025,4223.780025,4223.780025,4226.780025
241,amp180_freq10,180,10,4226.780025,4229.780025,4226.780025,4229.780025,4229.780025,4232.780025
242,amp100_freq26,100,26,4232.780025,4235.780025,4232.780025,4235.780025,4235.780025,4238.780025
243,amp180_freq10,180,10,4238.780025,4241.780025,4238.780025,4241.780025,4241.780025,4244.780025
