channel,rms,mad,ptp,absmax,zero_fraction,saturation_fraction,rough_mad,rms_rz,mad_rz,ptp_rz,rough_mad_rz,absmax_rz,exclude_reasons,exclude_auto
89,243.43542,161.5,1429.5,1390.0,0.00275,0.0,33.0,-1.2136969212759572,-1.1765180227670753,-1.4206350544983537,-6.07040775,-1.2087038213762273,,False
90,261.91788,180.0,1488.5,1327.0,0.00195,0.0,33.0,-1.186274341280637,-1.1328120319614712,-1.4052196389453806,-6.07040775,-1.2211595898798182,,False
91,315.78232,217.0,1785.0,1631.0,0.001925,0.0,33.0,-1.1063551883131795,-1.0454000503502627,-1.327750643835948,-6.07040775,-1.1610555640847136,,False
92,422.5301,291.5,2361.0,2377.0,0.0013,0.0,33.0,-0.9479725634991241,-0.8693948441330999,-1.177254383522177,-6.07040775,-1.013563448153305,,False
93,652.708,403.0,3806.0,4216.0,0.00085,0.0,38.0,-0.6064555277079708,-0.6059776563047286,-0.7997073415891923,-4.384183375,-0.6499736342151546,,False
94,1276.0453,777.0,8223.5,7827.0,0.0006,0.0,48.0,0.31839557263777424,0.277592103765324,0.35448923816095296,-1.0117346249999999,0.0639593827128829,,False
95,1539.114,929.5,10028.0,10148.0,0.000525,0.0,51.5,0.7087129947210158,0.6378712171628722,0.8259658036751888,0.1686224375,0.5228457112340612,,False
96,837.37836,490.5,5561.5,5230.0,0.0008,0.0,52.0,-0.3324584782920344,-0.3992601322241681,-0.3410334093308154,0.337244875,-0.44949507449069326,,False
97,1003.51416,600.0,6553.0,6297.0,0.000725,0.0,53.0,-0.08596130047219308,-0.14056791637478108,-0.08197604457195429,0.67448975,-0.23853785237432215,,False
98,1205.3265,711.75,7808.5,7687.0,0.00065,0.0,54.0,0.2134695304734343,0.12343989295096322,0.24605877283071856,1.0117346249999999,0.03627989714934779,,False
99,1388.6638,830.0,8798.0,8741.0,0.00045,0.0,51.0,0.48548869371184145,0.4028038612084063,0.5045935811301568,0.0,0.2446668813205335,,False
100,1565.4316,943.0,9798.0,9983.0,0.000325,0.0,52.5,0.747760693320736,0.6697647780210157,0.765871810841565,0.5058673124999999,0.4902234603913234,,False
101,1739.9641,1073.0,11045.0,11276.0,0.000425,0.0,52.0,1.0067160818144878,0.9768879566549913,1.091685763291691,0.337244875,0.7458632806316868,,False
102,1886.3018,1167.5,12133.5,12330.0,0.00055,0.0,52.0,1.2238385573284043,1.2001428826619964,1.3760871163325585,0.337244875,0.9542502648028727,,False
103,1886.8977,1173.25,11976.0,12161.0,0.0005,0.0,49.0,1.2247227696189313,1.213727177101576,1.3349357951530119,-0.67448975,0.9208371715154624,,False
104,1863.8601,1171.0,11878.5,12035.0,0.000375,0.0,53.0,1.1905416798365922,1.208411583625219,1.3094611677561496,0.67448975,0.8959256345082808,,False
105,1845.5343,1154.25,11547.5,11938.0,0.0003,0.0,53.0,1.163351517994041,1.1688399433012258,1.2229780737216736,0.67448975,0.8767477052249742,,False
106,1739.3396,1088.25,10706.0,10964.0,0.00035,0.0,47.0,1.0057894881892655,1.012915867994746,1.0031124434195235,-1.3489795,0.6841775699472373,,False
107,1620.9039,1008.5,9863.5,10153.0,0.000425,0.0,47.0,0.8300654264161479,0.8245076103327496,0.7829855348876622,-1.3489795,0.5238342642899018,,False
108,1500.4762,926.0,9199.5,9151.0,0.0003,0.0,52.0,0.6513857193400588,0.6296025161996497,0.6094967903592872,0.337244875,0.3257282318994577,,False
109,1316.2385,822.5,8139.0,7589.0,0.000625,0.0,52.0,0.37803063847466983,0.3850852162872154,0.33241122775033893,0.337244875,0.016904257254873226,,False
110,1104.603,706.25,6863.5,6018.0,0.0007,0.0,52.0,0.06402515631417519,0.11044622000875656,-0.0008491542465620763,0.337244875,-0.2936991128902242,,False
111,972.80115,635.5,6058.0,5041.0,0.0009,0.0,50.0,-0.13153047222738198,-0.05669966374781085,-0.2113087682791013,-0.337244875,-0.48686238000146564,,False
112,693.83307,460.0,4507.5,3960.0,0.000675,0.0,50.5,-0.5454379066642469,-0.4713159549036777,-0.6164206634466395,-0.1686224375,-0.7005875506741902,,False
113,706.1513,468.5,4615.0,4075.0,0.0008,0.0,52.0,-0.5271612277520491,-0.45123482399299475,-0.5883332537526632,0.337244875,-0.6778508303898578,,False
114,533.52325,347.0,3184.5,2741.0,0.001125,0.0,42.0,-0.7832910128159548,-0.7382768717162872,-0.9620917613548324,-3.035203875,-0.9415967856881137,,False
115,728.7287,478.5,4890.0,4109.0,0.00065,0.0,52.0,-0.4936629483620259,-0.42760996409807356,-0.516481740582026,0.337244875,-0.6711286696101422,,False
116,728.1398,477.0,4753.5,3949.0,0.00085,0.0,50.5,-0.4945367464356938,-0.4311536930823117,-0.5521462189376332,-0.1686224375,-0.7027623673970393,,False
117,726.9088,477.75,4615.5,3909.0,0.0009,0.0,50.0,-0.4963631283975275,-0.42938182859019264,-0.5882026146378074,-0.337244875,-0.7106707918437638,,False
