channel,probe,group,kcoord,x_um_provisional,y_um_provisional,is_bad,connected,exclude_auto,fiftyhz_on_minus_off,bad,shank_group,region
149,LEC,B_LEC_128-191,5,1560.0,420.0,False,True,False,0.11979397651320056,False,5,LEC
150,LEC,B_LEC_128-191,5,1560.0,440.0,False,True,False,0.07057703220692346,False,5,LEC
151,LEC,B_LEC_128-191,5,1560.0,460.0,False,True,False,0.06612629717270835,False,5,LEC
152,LEC,B_LEC_128-191,5,1560.0,480.0,False,True,False,0.1111215333262745,False,5,LEC
153,LEC,B_LEC_128-191,5,1560.0,500.0,False,True,False,-0.040614026731866204,False,5,LEC
154,LEC,B_LEC_128-191,5,1560.0,520.0,False,True,False,-0.05059819458014836,False,5,LEC
155,LEC,B_LEC_128-191,5,1560.0,540.0,False,True,False,0.09206150346524211,False,5,LEC
156,LEC,B_LEC_128-191,5,1560.0,560.0,False,True,False,0.07654372860443814,False,5,LEC
157,LEC,B_LEC_128-191,5,1560.0,580.0,False,True,False,0.07637030189985694,False,5,LEC
158,LEC,B_LEC_128-191,5,1560.0,600.0,False,True,False,0.07509337592044929,False,5,LEC
159,LEC,B_LEC_128-191,5,1560.0,620.0,False,True,False,-0.054439878460009083,False,5,LEC
160,LEC,B_LEC_128-191,5,1560.0,640.0,False,True,False,0.07869890386229628,False,5,LEC
161,LEC,B_LEC_128-191,5,1560.0,660.0,False,True,False,0.0457503570794664,False,5,LEC
162,LEC,B_LEC_128-191,5,1560.0,680.0,False,True,False,0.16545538155801154,False,5,LEC
163,LEC,B_LEC_128-191,5,1560.0,700.0,False,True,False,0.008555774173274244,False,5,LEC
164,LEC,B_LEC_128-191,5,1560.0,720.0,False,True,False,0.03274103515237137,False,5,LEC
165,LEC,B_LEC_128-191,5,1560.0,740.0,False,True,False,0.05777305550014056,False,5,LEC
166,LEC,B_LEC_128-191,5,1560.0,760.0,False,True,False,-0.06781297784329254,False,5,LEC
167,LEC,B_LEC_128-191,5,1560.0,780.0,False,True,False,0.05665399868813026,False,5,LEC
168,LEC,B_LEC_128-191,5,1560.0,800.0,False,True,False,0.033408028075564644,False,5,LEC
169,LEC,B_LEC_128-191,5,1560.0,820.0,False,True,False,0.07131443124792369,False,5,LEC
170,LEC,B_LEC_128-191,5,1560.0,840.0,False,True,False,0.03305320186887428,False,5,LEC
171,LEC,B_LEC_128-191,5,1560.0,860.0,False,True,False,0.058698317917487586,False,5,LEC
172,LEC,B_LEC_128-191,5,1560.0,880.0,False,True,False,0.8207826367116802,False,5,LEC
173,LEC,B_LEC_128-191,5,1560.0,900.0,False,True,False,11.521836463279627,False,5,LEC
174,LEC,B_LEC_128-191,5,1560.0,920.0,False,True,False,11.754702527606312,False,5,LEC
175,LEC,B_LEC_128-191,5,1560.0,940.0,False,True,False,11.683274093029993,False,5,LEC
176,LEC,B_LEC_128-191,5,1560.0,960.0,False,True,False,9.805291574726567,False,5,LEC
