cluster_a,cluster_b,n_spikes_a,n_spikes_b,template_similarity,n_coincident_1lag,expected_by_chance,coincidence_ratio,coincident_frac_of_smaller,flag
39,40,91896,143487,0.5748401880264282,5795,1454.14,3.99,0.0631,separate
79,83,201637,57623,0.4560640752315521,3617,1281.34,2.82,0.0628,separate
46,47,68094,101773,0.5228877067565918,4215,764.26,5.52,0.0619,separate
0,11,10886,40471,0.2983241379261017,661,48.59,13.6,0.0607,separate
53,55,16051,98271,0.3159574568271637,973,173.95,5.59,0.0606,separate
95,97,232384,18017,0.07743805646896362,1080,461.73,2.34,0.0599,separate
42,46,30083,68094,0.18062303960323334,1798,225.91,7.96,0.0598,separate
9,10,18270,46471,0.8061622381210327,1081,93.63,11.55,0.0592,separate
93,95,119884,232384,0.6234216094017029,7030,3072.31,2.29,0.0586,separate
39,47,91896,101773,0.3825356364250183,5382,1031.4,5.22,0.0586,separate
64,67,62925,13463,0.3498311936855316,787,93.42,8.42,0.0585,separate
12,16,57442,13461,0.27616602182388306,787,85.27,9.23,0.0585,separate
94,95,35051,232384,0.5513311624526978,2041,898.26,2.27,0.0582,separate
33,39,80643,91896,0.7208021879196167,4661,817.26,5.7,0.0578,separate
5,7,71650,29149,0.2349161058664322,1669,230.32,7.25,0.0573,separate
24,26,128965,21031,0.483365923166275,1203,299.11,4.02,0.0572,separate
0,9,10886,18270,0.3993687927722931,620,21.93,28.27,0.057,separate
78,84,111507,115873,0.7298570871353149,6283,1424.89,4.41,0.0563,separate
44,46,24800,68094,0.15732842683792114,1384,186.23,7.43,0.0558,separate
62,67,28997,13463,0.20833000540733337,745,43.05,17.3,0.0553,separate
80,82,45653,392247,0.30604445934295654,2485,1974.81,1.26,0.0544,separate
1,6,63676,26024,0.2053358256816864,1417,182.75,7.75,0.0544,separate
63,68,62281,13317,0.3428543508052826,725,91.47,7.93,0.0544,separate
49,58,51048,21886,0.3987773656845093,1189,123.21,9.65,0.0543,separate
95,99,232384,44162,0.16260941326618195,2343,1131.75,2.07,0.0531,separate
42,49,30083,51048,0.2922605872154236,1591,169.35,9.39,0.0529,separate
41,48,29275,27373,0.2565818727016449,1443,88.37,16.33,0.0527,separate
3,12,9513,57442,0.5637675523757935,500,60.26,8.3,0.0526,separate
4,8,15202,58480,0.5693701505661011,785,98.04,8.01,0.0516,separate
92,93,101024,119884,0.49823012948036194,5159,1335.62,3.86,0.0511,separate
10,12,46471,57442,0.2865496277809143,2331,294.38,7.92,0.0502,separate
79,82,201637,392247,0.3790476620197296,9961,8722.22,1.14,0.0494,separate
61,68,28593,13317,0.2134600430727005,637,41.99,15.17,0.0478,separate
42,43,30083,47164,0.126046821475029,1425,156.47,9.11,0.0474,separate
44,50,24800,6548,0.34971529245376587,310,17.91,17.31,0.0473,separate
64,68,62925,13317,0.6144946813583374,629,92.41,6.81,0.0472,separate
93,97,119884,18017,0.10896751284599304,851,238.2,3.57,0.0472,separate
93,94,119884,35051,0.3258665204048157,1645,463.4,3.55,0.0469,separate
9,13,18270,142000,0.7636037468910217,857,286.1,3.0,0.0469,separate
82,84,392247,115873,0.19640298187732697,5406,5012.32,1.08,0.0467,separate
91,95,4586,232384,0.7663843035697937,214,117.53,1.82,0.0467,separate
78,82,111507,392247,0.18956701457500458,5131,4823.46,1.06,0.046,separate
61,67,28593,13463,0.12302830070257187,616,42.45,14.51,0.0458,separate
41,43,29275,47164,0.14594118297100067,1316,152.27,8.64,0.045,separate
93,99,119884,44162,0.16674500703811646,1972,583.86,3.38,0.0447,separate
62,68,28997,13317,0.11634616553783417,592,42.59,13.9,0.0445,separate
92,94,101024,35051,0.43885529041290283,1539,390.5,3.94,0.0439,separate
8,17,58480,13817,0.29357627034187317,602,89.11,6.76,0.0436,separate
63,67,62281,13463,0.6078360676765442,582,92.47,6.29,0.0432,separate
10,13,46471,142000,0.4938656687736511,2001,727.73,2.75,0.0431,separate
64,66,62925,33924,0.8262123465538025,1439,235.41,6.11,0.0424,separate
43,45,47164,23233,0.12763381004333496,986,120.84,8.16,0.0424,separate
63,65,62281,33832,0.825547456741333,1420,232.37,6.11,0.042,separate
73,82,12637,392247,0.19566793739795685,531,546.64,0.97,0.042,separate
16,22,13461,27385,0.14840392768383026,561,40.65,13.8,0.0417,separate
82,88,392247,8036,0.2225688397884369,334,347.61,0.96,0.0416,separate
8,16,58480,13461,0.5084089040756226,553,86.81,6.37,0.0411,separate
21,24,22336,128965,0.06694702059030533,906,317.67,2.85,0.0406,separate
20,24,15082,128965,0.08675136417150497,603,214.5,2.81,0.04,separate
84,93,115873,119884,0.2978261113166809,4604,1531.94,3.01,0.0397,separate
13,15,142000,35284,0.1753855049610138,1398,552.54,2.53,0.0396,separate
97,99,18017,44162,0.9078360199928284,697,87.75,7.94,0.0387,separate
21,22,22336,27385,0.0879007950425148,862,67.46,12.78,0.0386,separate
7,10,29149,46471,0.3012787103652954,1101,149.38,7.37,0.0378,separate
83,84,57623,115873,0.40854257345199585,2137,736.33,2.9,0.0371,separate
94,101,35051,21357,0.04546205699443817,784,82.55,9.5,0.0367,separate
10,14,46471,34095,0.29852989315986633,1216,174.73,6.96,0.0357,separate
12,17,57442,13817,0.5220720171928406,488,87.53,5.58,0.0353,separate
6,8,26024,58480,0.8512521982192993,913,167.83,5.44,0.0351,separate
96,98,17004,44662,0.9227972626686096,595,83.75,7.1,0.035,separate
10,11,46471,40471,0.537135124206543,1403,207.41,6.76,0.0347,separate
61,64,28593,62925,0.8120152950286865,967,198.42,4.87,0.0338,separate
49,53,51048,16051,0.7554761171340942,539,90.36,5.97,0.0336,separate
0,7,10886,29149,0.17775395512580872,358,34.99,10.23,0.0329,separate
59,65,18920,33832,0.3344012200832367,617,70.59,8.74,0.0326,separate
9,15,18270,35284,0.1760544627904892,590,71.09,8.3,0.0323,separate
79,80,201637,45653,0.5097607374191284,1464,1015.17,1.44,0.0321,separate
21,31,22336,41107,0.3454452157020569,714,101.26,7.05,0.032,separate
49,50,51048,6548,0.587660014629364,209,36.86,5.67,0.0319,separate
17,22,13817,27385,0.10683973878622055,436,41.73,10.45,0.0316,separate
36,44,33469,24800,0.329243004322052,781,91.54,8.53,0.0315,separate
60,63,19235,62281,0.3762565553188324,602,132.11,4.56,0.0313,separate
49,52,51048,3471,0.29419463872909546,108,19.54,5.53,0.0311,separate
50,53,6548,16051,0.4037293493747711,200,11.59,17.26,0.0305,separate
62,63,28997,62281,0.8155134916305542,881,199.16,4.42,0.0304,separate
18,29,20137,39473,0.33739662170410156,610,87.66,6.96,0.0303,separate
59,63,18920,62281,0.6994295716285706,570,129.95,4.39,0.0301,separate
67,70,13463,24410,0.10152988135814667,405,36.24,11.18,0.0301,separate
69,79,62190,201637,0.2888549864292145,1872,1382.89,1.35,0.0301,separate
90,98,22872,44662,0.1305394321680069,688,112.65,6.11,0.0301,separate
59,64,18920,62925,0.3907933533191681,563,131.29,4.29,0.0298,separate
60,64,19235,62925,0.6969384551048279,569,133.48,4.26,0.0296,separate
50,54,6548,18995,0.27098894119262695,194,13.72,14.14,0.0296,separate
