trial,condition,n_on_edges,onset_ms,last_ms,span_ms,has_blip
28,amp180_freq26,9,46.00000000004911,2426.7500000000837,2380.7500000000346,True
29,amp100_freq5,1,726.4000000000124,726.4000000000124,0.0,True
30,amp180_freq26,7,726.5500000000884,2264.799999999923,1538.2499999998345,True
31,amp100_freq5,0,,,,False
32,amp100_freq26,4,299.40000000010514,2299.449999999979,2000.0499999998738,True
33,amp180_freq26,15,143.4999999999036,2299.600000000055,2156.1000000001513,True
34,amp100_freq5,2,630.4500000001099,1435.4499999999462,804.9999999998363,True
35,amp250_freq5,6,218.69999999989886,2418.4499999998934,2199.7499999999945,True
36,amp180_freq26,22,12.950000000046202,2396.7999999999847,2383.8499999999385,True
37,amp180_freq26,19,128.54999999990468,2356.399999999894,2227.8499999999894,True
38,amp250_freq5,6,334.65000000001055,2334.7000000001117,2000.0500000001011,True
39,amp100_freq26,8,269.2500000000564,2269.29999999993,2000.0499999998738,True
40,amp180_freq26,20,113.39999999995598,2450.450000000046,2337.05000000009,True
41,amp180_freq26,16,188.4500000001026,2263.400000000047,2074.9499999999443,True
42,amp180_freq26,14,378.95000000003165,2222.9999999999563,1844.0499999999247,True
43,amp100_freq5,2,2401.0000000000673,2450.900000000047,49.89999999997963,True
44,amp180_freq26,21,327.2500000000491,2327.299999999923,2000.0499999998738,True
45,amp180_freq5,3,1182.3500000000422,1987.3500000001059,805.0000000000637,True
46,amp100_freq5,7,131.0000000000855,2436.8500000000495,2305.849999999964,True
47,amp100_freq5,5,436.9500000000244,2371.4500000000953,1934.500000000071,True
48,amp100_freq5,5,34.59999999995489,2437.149999999974,2402.5500000000193,True
49,amp100_freq5,9,137.69999999999527,2134.649999999965,1996.9499999999698,True
50,amp250_freq5,5,31.750000000101863,1563.799999999901,1532.0499999997992,True
51,amp180_freq26,19,122.39999999997053,2393.9000000000306,2271.50000000006,True
52,amp250_freq5,10,153.74999999994543,2353.49999999994,2199.7499999999945,True
53,amp180_freq5,5,97.74999999990541,2107.150000000047,2009.4000000001415,True
54,amp250_freq5,7,491.0500000000866,1686.0999999998967,1195.04999999981,True
55,amp250_freq26,50,73.10000000006767,2413.250000000062,2340.149999999994,True
56,amp180_freq26,23,107.54999999994652,2460.199999999986,2352.6500000000397,True
57,amp100_freq5,11,210.70000000008804,2279.350000000022,2068.649999999934,True
58,amp100_freq26,7,251.40000000010332,2248.299999999972,1996.8999999998687,True
59,amp100_freq5,7,335.80000000006294,1936.4499999999225,1600.6499999998596,True
60,amp180_freq5,7,557.4999999998909,1752.5000000000546,1195.0000000001637,True
61,amp180_freq26,25,42.799999999942884,2439.100000000053,2396.3000000001102,True
62,amp250_freq5,7,258.25000000008913,1855.8000000000447,1597.5499999999556,True
63,amp180_freq5,8,81.59999999998035,2281.349999999975,2199.7499999999945,True
64,amp100_freq26,9,222.15000000005602,2237.8000000001066,2015.6500000000506,True
65,amp250_freq5,4,381.4500000000862,2381.49999999996,2000.0499999998738,True
66,amp180_freq5,8,5.100000000084037,2058.1500000000688,2053.0499999999847,True
67,amp250_freq5,3,186.20000000009895,1983.449999999948,1797.249999999849,True
68,amp100_freq26,7,55.29999999998836,2361.1499999999523,2305.849999999964,True
69,amp100_freq26,9,18.000000000029104,2030.5499999999483,2012.5499999999192,True
70,amp250_freq5,9,167.95000000001892,2167.9999999998927,2000.0499999998738,True
71,amp100_freq26,10,271.0500000000593,2274.249999999938,2003.1999999998789,True
72,amp250_freq26,49,10.150000000066939,2425.1999999999043,2415.0499999998374,True
73,amp250_freq5,6,1217.7999999998974,2415.99999999994,1198.2000000000426,True
74,amp100_freq26,10,412.9499999999098,2425.5000000000564,2012.5500000001466,True
75,amp180_freq26,24,141.65000000002692,2369.5000000000164,2227.8499999999894,True
76,amp100_freq26,8,60.69999999999709,2216.7500000000473,2156.05000000005,True
77,amp100_freq26,14,20.250000000032742,2201.2999999999465,2181.049999999914,True
78,amp180_freq5,10,138.99999999989632,2341.850000000022,2202.850000000126,True
79,amp100_freq26,7,235.85000000002765,1945.7500000000891,1709.9000000000615,True
80,amp180_freq26,18,3.0500000000301952,2386.8999999999687,2383.8499999999385,True
81,amp250_freq5,5,430.69999999988795,1903.3999999999196,1472.7000000000317,True
82,amp180_freq26,19,3.349999999954889,2462.05000000009,2458.7000000001353,True
83,amp100_freq5,5,231.29999999991924,1036.299999999983,805.0000000000637,True
84,amp180_freq5,2,843.0000000000746,1644.900000000007,801.8999999999323,True
85,amp250_freq5,5,291.89999999994143,2291.9500000000426,2000.0500000001011,True
86,amp180_freq26,17,67.39999999990687,2451.2500000000728,2383.850000000166,True
87,amp100_freq26,6,27.000000000043656,2027.0500000001448,2000.0500000001011,True
88,amp100_freq5,7,345.40000000015425,2345.4499999998006,2000.0499999996464,True
89,amp180_freq26,17,61.65000000009968,2330.0500000000284,2268.3999999999287,True
90,amp180_freq5,6,342.5999999999476,2398.8500000000386,2056.250000000091,True
