trial_number,condition,emg_off_raw,off_ttl_toggles,moving
378,amp100_freq26,0.23679858135233514,1,False
379,amp180_freq26,0.2605435301393928,1,False
380,amp250_freq5,0.3033129295192715,0,False
381,amp250_freq5,0.341866161197838,1,False
382,amp180_freq26,0.4998504797291362,0,False
383,amp100_freq5,0.2525769323662221,5,False
384,amp250_freq26,0.23245784233075423,6,False
385,amp180_freq26,0.3017088135303613,7,False
386,amp250_freq26,0.2846914350507948,2,False
387,amp100_freq5,0.23480883191298738,2,False
388,amp180_freq5,0.3241941806102548,2,False
389,amp180_freq26,0.2585451608400006,2,False
390,amp250_freq5,0.30509883852909564,1,False
391,amp100_freq26,0.5456100030688941,7,False
392,amp250_freq26,0.28021592407637375,5,False
393,amp180_freq5,0.8503316675566734,2,True
394,amp180_freq26,0.28064445406231775,3,False
395,amp180_freq5,0.7346126545182123,3,False
396,amp180_freq26,0.7084827181175168,4,False
397,amp250_freq5,0.9051300955059671,1,True
398,amp100_freq5,0.8869569182257575,3,True
399,amp100_freq26,0.6674098139862875,4,False
400,amp250_freq26,0.9383467705272552,3,True
401,amp180_freq26,0.7033933260646178,10,False
402,amp250_freq26,0.38116977513688244,2,False
403,amp100_freq5,0.33562757627316103,0,False
404,amp250_freq5,0.5237515963672803,0,False
405,amp100_freq5,0.9252316167517824,1,True
406,amp250_freq5,0.6870115575135556,1,False
407,amp100_freq26,0.9118820588158643,3,True
408,amp100_freq5,0.7954201613971915,2,True
409,amp100_freq5,0.5947665070189446,2,False
410,amp100_freq26,0.3785947835886621,4,False
411,amp100_freq26,0.9583000136411199,4,True
412,amp180_freq26,0.8414241061009283,2,True
413,amp180_freq5,0.461441516033167,6,False
414,amp250_freq26,0.3753190871616234,2,False
415,amp250_freq5,0.28090639858040756,8,False
416,amp250_freq26,0.8724709531731873,2,True
417,amp180_freq26,0.9007646758769725,7,True
418,amp250_freq26,0.5374311171600676,2,False
419,amp250_freq26,0.8973541534495436,1,True
420,amp250_freq5,0.41556404396872976,0,False
421,amp180_freq26,0.2740502180611109,7,False
422,amp250_freq26,0.2317637034857725,2,False
423,amp180_freq5,0.26965269537535963,4,False
424,amp250_freq26,0.20787823050276377,3,False
425,amp250_freq26,0.446210024952701,2,False
426,amp180_freq5,0.2713063540637771,0,False
427,amp250_freq5,0.25538992657954457,1,False
428,amp100_freq26,0.8973169787390222,1,True
429,amp180_freq5,0.3366046390118512,1,False
430,amp100_freq26,0.9184408743417698,3,True
431,amp250_freq5,0.369601179066894,0,False
432,amp100_freq26,0.36224565431061134,0,False
433,amp100_freq26,0.7479016098917127,4,False
434,amp180_freq26,0.23370281278877583,2,False
435,amp100_freq26,0.40215143124681846,2,False
436,amp250_freq5,0.3905006179787288,0,False
437,amp100_freq26,0.25189644769349656,3,False
438,amp180_freq26,0.22108214894975306,3,False
439,amp180_freq5,0.8465934455999354,2,True
440,amp180_freq5,0.2298249418011395,7,False
441,amp250_freq26,0.951216139103254,3,True
442,amp180_freq26,0.9233896705611482,1,True
443,amp100_freq5,0.6431590445721389,2,False
444,amp250_freq5,0.8234953826717105,2,True
445,amp180_freq26,0.2438765599448798,1,False
446,amp250_freq5,0.292585842500892,5,False
447,amp180_freq26,0.3091974387840624,2,False
448,amp180_freq5,0.24631868724101955,7,False
449,amp250_freq26,0.17999783000527744,2,False
450,amp100_freq26,0.2995568603018369,1,False
451,amp100_freq5,0.21460243713488825,2,False
452,amp180_freq5,0.19522566346801037,1,False
453,amp100_freq26,0.19522837234424897,4,False
454,amp250_freq26,0.29344755751298857,1,False
455,amp250_freq5,0.691352300940078,2,False
456,amp250_freq5,0.32835299803063595,10,False
457,amp250_freq26,0.2563233822970962,4,False
458,amp180_freq5,0.9160736893542645,3,True
459,amp180_freq26,0.9097104037492768,11,True
460,amp250_freq26,0.856105288835913,3,True
461,amp100_freq26,0.41656778428608987,2,False
462,amp180_freq26,0.3708262077547242,1,False
463,amp100_freq5,0.33302145973169023,7,False
464,amp250_freq26,0.3153914287759857,7,False
465,amp250_freq26,0.6436764666674978,5,False
466,amp180_freq26,0.9403923216370581,4,True
467,amp180_freq26,0.7952726769357222,1,True
468,amp100_freq5,0.7415926242907692,3,False
469,amp250_freq26,0.3424651357562342,1,False
470,amp180_freq5,0.5682423129783878,0,False
471,amp180_freq5,0.42848685787383667,5,False
472,amp180_freq26,0.9493306310560597,3,True
473,amp250_freq26,0.3920370103493486,0,False
474,amp100_freq5,0.37747950393896523,1,False
475,amp180_freq5,0.47596970153768636,2,False
476,amp250_freq26,0.3370258144986038,0,False
477,amp250_freq5,0.6048007352783001,0,False
478,amp180_freq5,0.3667719286092369,1,False
479,amp180_freq5,0.2795905246272038,2,False
480,amp250_freq5,0.5346484582645015,1,False
481,amp100_freq5,0.28666355916226544,2,False
482,amp180_freq26,0.3356564560390067,2,False
483,amp180_freq5,0.5849974019051073,2,False
484,amp250_freq5,0.327558764414498,2,False
485,amp180_freq5,0.27769414068436593,2,False
486,amp100_freq5,0.4942605304332281,2,False
487,amp180_freq26,0.2684718399025232,1,False
488,amp100_freq26,0.30424689944698796,1,False
489,amp100_freq5,0.2471060865277739,2,False
490,amp180_freq5,0.44922907518556915,1,False
491,amp180_freq26,0.3438200354920093,0,False
492,amp180_freq5,0.3078207887453158,0,False
493,amp250_freq5,0.917603076597108,0,True
494,amp100_freq26,0.8119396937745157,0,True
495,amp100_freq5,0.5626546442228927,2,False
496,amp180_freq26,0.41393122388183085,2,False
497,amp180_freq5,0.8773925006578863,0,True
498,amp250_freq5,0.7058534409755534,0,False
499,amp250_freq5,0.40053648341059406,7,False
500,amp250_freq26,0.2644542770089871,1,False
501,amp100_freq26,0.33597774277038756,7,False
502,amp250_freq26,0.49512844650574905,0,False
503,amp180_freq5,0.2923648717948764,1,False
504,amp100_freq26,0.24265431402835827,2,False
505,amp100_freq26,0.3734027193392272,3,False
506,amp180_freq5,0.24869008536575857,4,False
507,amp100_freq26,0.29516880120702327,4,False
508,amp180_freq26,0.23996077456657103,0,False
509,amp100_freq5,0.6101110350063988,6,False
510,amp250_freq26,0.3636514820964809,0,False
511,amp100_freq26,0.3448421130465178,0,False
512,amp100_freq5,0.2960198231669728,1,False
513,amp250_freq5,0.379839800931783,2,False
514,amp180_freq26,0.2589885987299844,0,False
515,amp100_freq5,0.24223253087372357,4,False
516,amp250_freq26,0.25422148910812414,1,False
517,amp100_freq5,0.22146411158936102,0,False
518,amp100_freq26,0.29299176131881793,4,False
519,amp250_freq26,0.23967199400016673,3,False
520,amp180_freq26,0.2689545794355392,3,False
521,amp180_freq5,0.22455172630916717,1,False
522,amp100_freq26,0.21080833089330647,3,False
523,amp100_freq26,0.24050610424792282,3,False
524,amp180_freq5,0.25716976588390617,4,False
525,amp180_freq5,0.8211487354962465,4,True
526,amp180_freq26,0.41022249526424404,3,False
527,amp100_freq5,0.9230923450257903,2,True
528,amp250_freq5,0.59587051080001,1,False
529,amp250_freq5,0.8993248343635301,2,True
530,amp250_freq26,0.904258065492858,1,True
531,amp100_freq26,0.7217943238445583,1,False
532,amp180_freq5,0.5217880019382877,0,False
533,amp100_freq26,0.807583265560484,5,True
534,amp100_freq5,0.5816220079359052,2,False
535,amp100_freq26,0.6251978658348444,0,False
536,amp100_freq5,0.49908584351053925,6,False
537,amp250_freq26,0.26637404266279663,2,False
538,amp250_freq5,0.8634601996271342,1,True
539,amp100_freq5,0.3729967664841705,0,False
540,amp100_freq26,0.2675658383781628,3,False
541,amp180_freq5,0.3412300147136718,3,False
542,amp250_freq5,0.7271098207356806,2,False
543,amp100_freq26,0.7243329195584359,0,False
544,amp180_freq5,0.48122900646734595,1,False
545,amp100_freq5,0.6505533567162741,2,False
546,amp180_freq26,0.3811835501954341,2,False
547,amp100_freq5,0.8401089670395796,1,True
548,amp180_freq26,0.265624476393926,2,False
549,amp180_freq5,0.4014343313139096,1,False
550,amp250_freq5,0.30792837954070945,0,False
551,amp100_freq5,0.5238103116740503,2,False
552,amp180_freq5,0.28746850673719404,2,False
553,amp180_freq5,0.30889802854220044,2,False
554,amp250_freq5,0.300695913442834,3,False
555,amp250_freq26,0.2741006790278229,1,False
556,amp100_freq5,0.6927692944261218,3,False
557,amp250_freq5,0.25557140059676897,2,False
558,amp180_freq26,0.2567222709107429,1,False
559,amp250_freq5,0.6309010408431358,1,False
560,amp100_freq26,0.7406287920371384,7,False
561,amp180_freq26,0.8241681340118397,5,True
562,amp180_freq5,0.6505635532575061,0,False
563,amp100_freq26,0.7925820790550667,3,True
564,amp180_freq26,0.9363398902803757,0,True
565,amp100_freq26,0.3055045870655414,0,False
566,amp180_freq5,0.44024745034649804,0,False
567,amp100_freq5,0.27182182475004624,2,False
568,amp250_freq5,0.307585038865267,2,False
569,amp180_freq26,0.29935852652036676,7,False
570,amp250_freq26,0.4103784717395692,2,False
571,amp180_freq5,0.6838526930712728,2,False
572,amp180_freq5,0.4142393165792111,1,False
573,amp250_freq5,0.34673643453438413,1,False
574,amp100_freq26,0.7558854622430087,3,False
575,amp100_freq26,0.4738517091135093,1,False
576,amp180_freq5,0.9494852638162419,0,True
577,amp100_freq26,0.4914145960967655,1,False
578,amp180_freq5,0.5197839718746962,3,False
579,amp180_freq26,0.5575744394404464,1,False
