trial_number,condition,emg_on,emg_off,off_ttl_toggles,moving
356,amp100_freq5,0.4676159745061952,0.6939239991628008,0,False
357,amp250_freq5,0.646536609301406,0.3895150949860861,1,False
358,amp250_freq5,0.302730131994234,0.3185374924436419,4,False
359,amp180_freq26,0.34985017856919914,0.25068732293465495,3,False
360,amp180_freq26,0.23066772986044612,0.32265573028039374,2,False
361,amp100_freq26,0.2783017143670656,0.4338341630615689,5,False
362,amp180_freq26,0.3799940528287566,0.26937131480878723,0,False
363,amp100_freq5,0.2794684912902133,0.29524000025775804,3,False
364,amp100_freq26,0.23113843537357723,0.24596747418845852,2,False
365,amp100_freq5,0.43289145572999105,0.45955979094675276,7,False
366,amp250_freq26,0.3553462081948713,0.44102581761920306,1,False
367,amp100_freq26,0.6758658902671303,0.5385327749108267,1,False
368,amp100_freq5,0.426071830278057,0.6807824010528388,1,False
369,amp100_freq26,0.5182749471620628,0.3747080015837057,0,False
370,amp100_freq5,0.33624466095660294,0.2796026995170529,8,False
371,amp250_freq26,0.3288556046867792,0.4410098341135811,1,False
372,amp100_freq26,0.26443773481609434,0.2288700909911088,1,False
373,amp100_freq26,0.31061253646376114,0.5345273763399983,3,False
374,amp250_freq5,0.49371270362461667,0.6031729492680871,5,False
375,amp250_freq26,0.39389483226947,0.3951905864482446,1,False
376,amp180_freq5,0.31986756861179705,0.2523666991265627,1,False
377,amp100_freq26,0.3378004992932459,0.4149160803487462,0,False
378,amp100_freq26,0.27795384317760913,0.24237059183085852,1,False
379,amp180_freq26,0.22583360346961398,0.2688497534122977,1,False
380,amp250_freq5,0.22719897530608,0.3142936401276191,0,False
381,amp250_freq5,0.2513973815943572,0.3484803458341732,1,False
382,amp180_freq26,0.25811431339748675,0.4294599175505802,0,False
383,amp100_freq5,0.30711007799516715,0.26318030620400096,5,False
384,amp250_freq26,0.3267048283738378,0.2526662058499671,6,False
385,amp180_freq26,0.26932206262256186,0.2976841093505364,7,False
386,amp250_freq26,0.36709148302757716,0.2935835491376061,2,False
387,amp100_freq5,0.2707461452530456,0.24706539037117273,2,False
388,amp180_freq5,0.44710298198529785,0.331342890251448,2,False
389,amp180_freq26,0.31639906115377975,0.2685711619576925,2,False
390,amp250_freq5,0.35874715323558864,0.31645310997355813,1,False
391,amp100_freq26,0.33727423112988225,0.3986592140178659,7,False
392,amp250_freq26,0.3420620195257016,0.2960161432851061,5,False
393,amp180_freq5,0.31067303498935267,0.6970259625920096,2,False
394,amp180_freq26,0.3016825939277382,0.29078946963824065,3,False
395,amp180_freq5,0.29005928185252455,0.5917022220517342,3,False
396,amp180_freq26,0.6914588157860365,0.6160489145402707,4,False
397,amp250_freq5,0.6561100906439349,0.7929190572868315,1,True
398,amp100_freq5,0.78225867363919,0.7898051362937076,3,True
399,amp100_freq26,0.7914110134847535,0.5766503152378781,4,False
400,amp250_freq26,0.6333973090424534,0.7339075669977994,3,False
401,amp180_freq26,0.7448543743494477,0.572428157518514,10,False
402,amp250_freq26,0.4736462411141736,0.3614873402127204,2,False
403,amp100_freq5,0.27709388629671483,0.3104355685676025,0,False
404,amp250_freq5,0.2738529315364169,0.4326893117796415,0,False
405,amp100_freq5,0.793546913378753,0.8016467045440542,1,True
406,amp250_freq5,0.5681198289049568,0.5744766582100014,1,False
407,amp100_freq26,0.6607893267961399,0.7448123757316316,3,True
408,amp100_freq5,0.8109804236858277,0.7423597903008382,2,True
409,amp100_freq5,0.5373139521056617,0.4928468023329747,2,False
410,amp100_freq26,0.39864062797010447,0.36214974418674456,4,False
411,amp100_freq26,0.6734345174572284,0.9270164637311201,4,True
412,amp180_freq26,0.8588409627462217,0.6909399148888778,2,False
413,amp180_freq5,0.6229321553618336,0.4474742373771419,6,False
414,amp250_freq26,0.4975077741652438,0.3601978511650831,2,False
415,amp250_freq5,0.25345330882551115,0.281695383154863,8,False
416,amp250_freq26,0.693543381552653,0.8179604063535227,2,True
417,amp180_freq26,0.6760917747102747,0.8220688793943082,7,True
418,amp250_freq26,0.5800501915188313,0.5063724970902387,2,False
419,amp250_freq26,0.9355786032909178,0.6881994265921625,1,False
420,amp250_freq5,0.5138255684432652,0.38871218112447176,0,False
421,amp180_freq26,0.45262659614783773,0.2618666037735428,7,False
422,amp250_freq26,0.35204976464357357,0.24860906440347655,2,False
423,amp180_freq5,0.31032396421783476,0.28973964338147684,4,False
424,amp250_freq26,0.2676214191753766,0.22296441687167276,3,False
425,amp250_freq26,0.2912268956858867,0.425125641051181,2,False
426,amp180_freq5,0.42231173433512764,0.27370339555458795,0,False
427,amp250_freq5,0.3556005392070169,0.27912486358986993,1,False
428,amp100_freq26,0.6581779634201701,0.7431967281749831,1,True
429,amp180_freq5,0.52858291905314,0.33648510798823633,1,False
430,amp100_freq26,0.3835475331648797,0.7315174069454792,3,False
431,amp250_freq5,0.4591033687139496,0.36574009895249965,0,False
432,amp100_freq26,0.3004814527992975,0.3209602014649883,0,False
433,amp100_freq26,0.5754211285916523,0.6253455446608864,4,False
434,amp180_freq26,0.5005857078936989,0.23780582920535945,2,False
