unit_set,cluster_id,condition,n_trials,mean_on_hz,mean_off_hz,mean_delta_hz,sem_delta_hz,median_delta_hz,t_stat,p_value,q_value_bh_within_unit_set,direction,responsive_q05_within_unit_set,KSLabel,ContamPct,Amplitude,review_category,review_priority,best_raw_channel,best_channel_shank
dec4_dHPC,78,amp180_freq5,200,0.5566666666666668,0.6033333333333333,-0.04666666666666666,0.12652288410009085,0.0,-0.3688397320262568,0.7126393013190565,0.8625080480151115,ON<OFF,False,good,2.3,46.7,high_confidence_ks_good,6,15,1
dec4_dHPC,82,amp180_freq5,200,5.466666666666668,5.566666666666666,-0.10000000000000003,0.17060669486504623,0.0,-0.5861434692179127,0.5584433344450375,0.7856445236377231,ON<OFF,False,good,1.8,8.9,high_confidence_ks_good,7,113,4
dec4_dHPC,86,amp180_freq5,200,1.751666666666667,1.5066666666666668,0.24500000000000008,0.15466823881543723,0.0,1.5840356228039427,0.11477349027274386,0.44911365758899774,ON>OFF,False,good,10.0,14.6,high_confidence_ks_good,8,81,3
dec4_dHPC,90,amp180_freq5,200,10.78833333333333,10.386666666666667,0.40166666666666656,0.22707935507403024,0.0,1.768838327622161,0.07845274232558089,0.35303734046511404,ON>OFF,False,good,4.2,17.0,high_confidence_ks_good,10,115,4
dec4_dHPC,104,amp180_freq5,200,8.925,8.548333333333332,0.3766666666666667,0.5172853053220994,-0.16666666666666652,0.7281603842044705,0.4673713557482238,0.7587773624721666,ON>OFF,False,good,16.0,17.2,manual_review,11,84,3
dec4_dHPC,109,amp180_freq5,200,0.14,0.18166666666666664,-0.04166666666666666,0.03448087535048654,0.0,-1.208399329864424,0.22832766869667964,0.5783272070357341,ON<OFF,False,good,0.0,16.3,high_confidence_ks_good,13,119,4
dec4_dHPC,113,amp180_freq5,200,1.0316666666666665,0.9616666666666666,0.06999999999999997,0.20007801381866944,0.0,0.34986352905042795,0.7268111114119274,0.8663973513519664,ON>OFF,False,good,0.2,25.5,high_confidence_ks_good,15,119,4
dec4_dHPC,125,amp180_freq5,200,1.4533333333333331,1.6716666666666669,-0.21833333333333332,0.11375518836990262,0.0,-1.919326375016579,0.056373523611359756,0.2818676180567988,ON<OFF,False,mua,23.1,12.2,manual_review,27,120,4
dec4_dHPC,126,amp180_freq5,200,13.215,12.55,0.6649999999999998,0.4900204390728014,0.0,1.3570862498272283,0.17629104759362832,0.5288731427808849,ON>OFF,False,good,0.2,29.2,high_confidence_ks_good,16,120,4
dec4_dHPC,130,amp180_freq5,200,0.07833333333333332,0.08666666666666666,-0.00833333333333333,0.019547862491157423,0.0,-0.4263040696701727,0.6703470632215073,0.8345840272775664,ON<OFF,False,good,0.0,37.6,high_confidence_ks_good,17,122,4
