trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,onset_delta,sustained_delta,offset_delta,recovery_delta,transition_index
1483,amp250_freq26,250,26,B_LEC_128-191,51,31.638389587402344,-4.700294494628906,-19.976425170898438,-7.2854766845703125,-15.276130676269531
1483,amp250_freq26,250,26,B_LEC_192-255,32,-8.005901336669922,-5.139945983886719,-8.662277221679688,22.848957061767578,-3.5223312377929688
1484,amp250_freq26,250,26,A_dHPC_0-31,32,53.33448791503906,13.052093505859375,-47.85163116455078,-17.921554565429688,-60.903724670410156
1484,amp250_freq26,250,26,A_dHPC_32-63,32,111.11161804199219,48.50840759277344,10.634002685546875,38.260040283203125,-37.87440490722656
1484,amp250_freq26,250,26,A_dHPC_64-95,32,60.19459533691406,25.804428100585938,-26.77265167236328,35.86888122558594,-52.57707977294922
1484,amp250_freq26,250,26,A_dHPC_96-127,31,9.98370361328125,21.12713623046875,37.58888244628906,52.88141632080078,16.461746215820312
1484,amp250_freq26,250,26,B_LEC_128-191,51,39.13402557373047,17.464035034179688,21.707992553710938,15.305351257324219,4.24395751953125
1484,amp250_freq26,250,26,B_LEC_192-255,32,2.1646499633789062,-12.755149841308594,-23.219974517822266,-27.017963409423828,-10.464824676513672
1485,amp180_freq50,180,50,A_dHPC_0-31,32,178.75669860839844,-22.939712524414062,-59.96519470214844,23.570144653320312,-37.025482177734375
1485,amp180_freq50,180,50,A_dHPC_32-63,32,103.53384399414062,-13.597869873046875,-95.86165618896484,20.337127685546875,-82.26378631591797
1485,amp180_freq50,180,50,A_dHPC_64-95,32,-34.56097412109375,-19.072998046875,12.53802490234375,-4.0489959716796875,31.61102294921875
1485,amp180_freq50,180,50,A_dHPC_96-127,31,26.27142333984375,-6.5902252197265625,-27.57721710205078,19.702423095703125,-20.98699188232422
1485,amp180_freq50,180,50,B_LEC_128-191,51,-13.827686309814453,4.859001159667969,-27.571212768554688,12.4727783203125,-32.430213928222656
1485,amp180_freq50,180,50,B_LEC_192-255,32,11.613975524902344,-0.5557823181152344,4.941474914550781,-3.806774139404297,5.497257232666016
