edge,sample
rising,60848720
rising,60910500
rising,60934838
rising,61030379
rising,61054030
rising,61270510
rising,61272632
rising,61320995
rising,61395631
rising,61429392
rising,61545713
rising,61664718
rising,61760821
rising,61777795
rising,61781789
rising,61796766
rising,61850246
rising,61904725
rising,61924570
rising,61998394
rising,62007630
rising,62038395
rising,62111346
rising,62144295
rising,62230538
rising,62240273
rising,62250819
rising,62262863
rising,62274408
rising,62280274
rising,62352351
rising,62368389
rising,62408390
rising,62472355
rising,62490826
rising,62506864
rising,62520281
rising,62606836
rising,62611454
rising,62617320
rising,62621938
rising,62637352
rising,62641969
rising,62648085
rising,62733641
rising,62749679
rising,62765655
rising,62830555
rising,62849401
rising,62865439
rising,62950559
rising,62953991
rising,62957049
rising,62959358
rising,62961667
rising,62964225
rising,62966284
rising,62970902
rising,62973211
rising,62975770
rising,62982447
rising,62988064
rising,62990373
rising,62994678
rising,63001668
rising,63004788
rising,63007783
rising,63009343
rising,63077364
rising,63103948
rising,63127911
rising,63224264
rising,63241425
rising,63320678
rising,63324735
rising,63325983
rising,63331412
rising,63336279
rising,63342208
rising,63346264
rising,63347512
rising,63349072
rising,63350882
rising,63356062
rising,63360118
rising,63365485
rising,63368293
rising,63435252
rising,63441430
rising,63453787
rising,63466143
rising,63472196
rising,63478311
rising,63550513
rising,63551200
rising,63555256
rising,63557752
rising,63561309
rising,63563743
rising,63565927
rising,63567737
rising,63568361
rising,63569796
rising,63572916
rising,63576785
rising,63581403
rising,63582838
rising,63587456
rising,63589828
rising,63591575
rising,63595943
rising,63601373
rising,63602870
rising,63608299
rising,63670537
rising,63672222
rising,63673907
rising,63678338
rising,63682956
rising,63695249
rising,63700054
rising,63704485
rising,63710538
rising,63715156
rising,63725952
rising,63790665
rising,63806142
rising,63817374
rising,63838217
rising,63846205
rising,63921964
rising,63957909
rising,63961965
rising,64038036
rising,64041967
rising,64065868
rising,64077912
rising,64081969
rising,64150738
rising,64175762
rising,64183375
rising,64197292
rising,64203345
rising,64284907
rising,64291023
rising,64297201
rising,64315673
rising,64321788
rising,64408717
rising,64511809
rising,64520983
rising,64537894
rising,64557926
rising,64562544
rising,64567162
rising,64568660
rising,64640237
rising,64648724
rising,64653280
rising,64654777
rising,64659395
rising,64661954
rising,64670940
rising,64674747
rising,64679365
rising,64684794
rising,64690410
rising,64760053
rising,64766356
rising,64770974
rising,64774843
rising,64777027
rising,64780897
rising,64784766
rising,64790195
rising,64792691
rising,64804673
rising,64806357
rising,64871507
rising,64874753
rising,64890104
rising,64891602
rising,64896220
rising,64898653
rising,64913942
rising,64917063
rising,64917749
rising,64924676
rising,64928483
rising,65003804
rising,65027768
rising,65043868
rising,65156321
rising,65230582
rising,65236947
rising,65240129
rising,65246183
rising,65248741
rising,65253172
rising,65255418
rising,65256916
rising,65259350
rising,65263905
rising,65265403
rising,65268586
rising,65281566
rising,65285373
rising,65370804
rising,65376920
rising,65389276
rising,65478888
rising,65490121
rising,65518889
rising,65522134
rising,65590716
rising,65606942
rising,65648066
rising,65729067
rising,65738303
rising,65759832
rising,65769318
rising,65834280
rising,65837463
rising,65841270
rising,65842767
rising,65845950
rising,65849944
rising,65856871
rising,65858244
rising,65858992
rising,65860428
rising,65863548
rising,65865046
rising,65867417
rising,65876528
rising,65878899
rising,65881333
rising,65885077
rising,65888260
rising,65957404
rising,65965454
rising,65993162
rising,65997405
rising,66001399
rising,66070855
rising,66075847
rising,66078156
rising,66079654
rising,66082836
rising,66086643
rising,66088078
rising,66089139
rising,66091448
rising,66095879
rising,66101246
rising,66101495
rising,66102057
rising,66105052
rising,66108921
rising,66109670
rising,66117596
rising,66121215
rising,66122026
rising,66122650
rising,66124335
rising,66125833
rising,66128079
rising,66192668
rising,66193417
rising,66195102
rising,66197411
rising,66199657
rising,66201904
rising,66204337
rising,66207395
rising,66208955
rising,66212762
rising,66217318
rising,66217567
rising,66221935
rising,66225056
rising,66225867
rising,66226616
rising,66228862
rising,66229861
rising,66232731
rising,66235789
rising,66238909
rising,66241406
rising,66244276
rising,66245025
rising,66320971
rising,66341065
rising,66432737
rising,66440725
rising,66448837
rising,66466061
rising,66476170
rising,66480851
rising,66564972
rising,66581010
rising,66585003
rising,66608967
rising,66673992
rising,66696769
rising,66728783
rising,66804791
rising,66835556
rising,66910691
rising,66927415
rising,66932470
rising,66947447
rising,67039181
rising,67156065
rising,67161369
rising,67167485
rising,67170605
rising,67172976
rising,67175223
rising,67179092
rising,67183710
rising,67189139
rising,67192946
rising,67196752
rising,67200559
rising,67207486
rising,67285450
rising,67301487
rising,67325451
rising,67390746
rising,67410903
rising,67437487
rising,67551125
rising,67560361
rising,67566477
rising,67632500
rising,67636432
rising,67640239
rising,67649475
rising,67651846
rising,67653343
rising,67656464
rising,67657150
rising,67660520
rising,67662579
rising,67665138
rising,67667447
rising,67671004
rising,67672689
rising,67677931
rising,67682549
rising,67686418
rising,67688976
rising,67760991
rising,67775781
rising,67787013
rising,67795064
rising,67884114
