burst_index,start_sample,end_sample,start_time_s,end_time_s,duration_s,pulse_count,estimated_freq_hz,config_index,amplitude,expected_freq_hz,pin,expected_start_time_s,start_time_error_s
198,54190121,54247034,2709.50605,2712.3517,2.84565,2,0.6500893872907525,198,100,5,12,2088.0,621.50605
199,54345632,54485730,2717.2816,2724.2865,7.0049,1,,199,100,26,12,2094.0,623.2815999999998
200,54589882,54670259,2729.4941,2733.51295,4.01885,1,,200,250,5,12,2100.0,629.4940999999999
201,54679869,54828142,2733.99345,2741.4071,7.41365,2,0.46447897071460087,201,180,5,12,2106.0,627.9934499999999
202,54920625,54924619,2746.03125,2746.23095,0.1997,1,,202,180,26,12,2112.0,634.03125
203,55032890,55077509,2751.6445,2753.87545,2.23095,2,0.49998750031249223,203,100,5,12,2118.0,633.6444999999999
204,55184158,55270089,2759.2079,2763.50445,4.29655,1,,204,180,5,12,2124.0,635.2078999999999
205,55276392,55410374,2763.8196,2770.5187,6.6991,2,0.49998750031249223,205,100,26,12,2130.0,633.8195999999998
206,55410436,55416489,2770.5218,2770.82445,0.30265,1,,206,100,26,12,2136.0,634.5218
207,55544917,55548100,2777.24585,2777.405,0.15915,1,,207,180,5,12,2142.0,635.2458499999998
208,55630099,55750976,2781.50495,2787.5488,6.04385,3,0.8217770929635337,208,180,26,12,2148.0,633.50495
209,55752661,55890512,2787.63305,2794.5256,6.89255,4,1.3081300281247956,209,180,5,12,2154.0,633.6330499999999
210,55906550,55930139,2795.3275,2796.50695,1.17945,3,2.0093434470286833,210,100,5,12,2160.0,635.3274999999999
211,56110112,56163281,2805.5056,2808.16405,2.65845,5,2.6162600562495912,211,180,26,12,2166.0,639.5056
212,56237979,56270055,2811.89895,2813.50275,1.6038,1,,212,100,5,12,2172.0,639.8989499999998
213,56286155,56350244,2814.30775,2817.5122,3.20445,1,,213,250,26,12,2178.0,636.3077499999999
214,56354612,56470248,2817.7306,2823.5124,5.7818,9,2.8874611997401285,214,250,5,12,2184.0,633.7305999999999
215,56476426,56508377,2823.8213,2825.41885,1.59755,2,0.7153843402367922,215,180,26,12,2190.0,633.8213000000001
216,56592810,56714311,2829.6405,2835.71555,6.07505,6,3.3041467041136627,216,250,26,12,2196.0,633.6405
217,56714373,56831132,2835.71865,2841.5566,5.83795,8,3.6416605972323377,217,100,5,12,2202.0,633.7186499999998
218,56855032,56970792,2842.7516,2848.5396,5.788,2,2.4651793417971155,218,250,5,12,2208.0,634.7516
219,57193201,57310271,2859.66005,2865.51355,5.8535,8,2.605523710265764,219,250,5,12,2214.0,645.66005
220,57333611,57441945,2866.68055,2872.09725,5.4167,1,,220,250,26,12,2220.0,646.68055
221,57469839,57556831,2873.49195,2877.84155,4.3496,1,,221,100,5,12,2226.0,647.4919500000001
222,57566067,57665352,2878.30335,2883.2676,4.96425,12,2.484472049689441,222,180,5,12,2232.0,646.3033500000001
223,57705415,57708348,2885.27075,2885.4174,0.14665,1,,223,100,26,12,2238.0,647.2707500000001
224,57797337,57827915,2889.86685,2891.39575,1.5289,2,1.079097874177188,224,180,5,12,2244.0,645.8668499999999
225,57911412,57966952,2895.5706,2898.3476,2.777,7,3.373534620899047,225,250,5,12,2250.0,645.5706
226,58031852,58055878,2901.5926,2902.7939,1.2013,1,,226,180,26,12,2256.0,645.5926
227,58087891,58153416,2904.39455,2907.6708,3.27625,1,,227,100,5,12,2262.0,642.39455
228,58154477,58295760,2907.72385,2914.788,7.06415,10,3.111387678904791,228,250,26,12,2268.0,639.7238499999999
229,58298693,58390240,2914.93465,2919.512,4.57735,2,1.6605778811026237,229,180,5,12,2274.0,640.9346500000001
230,58394733,58510244,2919.73665,2925.5122,5.77555,3,0.9999750006249845,230,180,5,12,2280.0,639.7366499999998
231,58534456,58630268,2926.7228,2931.5134,4.7906,1,,231,100,5,12,2286.0,640.7228
232,58637756,58686182,2931.8878,2934.3091,2.4213,8,4.577706569008926,232,250,26,12,2292.0,639.8878
233,58784906,58802129,2939.2453,2940.10645,0.86115,1,,233,100,5,12,2298.0,641.2453
234,58870275,58921384,2943.51375,2946.0692,2.55545,3,0.8603815792303887,234,180,26,12,2304.0,639.5137500000001
235,59003820,59031777,2950.191,2951.58885,1.39785,1,,235,180,5,12,2310.0,640.1909999999998
236,59131125,59165010,2956.55625,2958.2505,1.69425,3,1.3001787745815048,236,180,26,12,2316.0,640.5562500000001
237,59230285,59350288,2961.51425,2967.5144,6.00015,2,0.8478528127517062,237,250,5,12,2322.0,639.5142500000002
238,59350476,59360148,2967.5238,2968.0074,0.4836,1,,238,100,26,12,2328.0,639.5237999999999
239,59397029,59400150,2969.85145,2970.0075,0.15605,1,,239,100,5,12,2334.0,635.8514500000001
240,59470292,59496627,2973.5146,2974.83135,1.31675,1,,240,100,26,12,2340.0,633.5146
241,59590295,59710299,2979.51475,2985.51495,6.0002,3,0.6997533369487255,241,250,26,12,2346.0,633.5147499999998
