cluster_id,KSLabel,ContamPct,Amplitude,group,is_ks_good,spike_count,firing_rate_hz,isi_violations_lt_2ms,isi_violation_fraction,best_local_channel_index,best_raw_channel,best_channel_x,best_channel_y,best_channel_shank,template_peak_to_peak,max_abs_on_off_delta_hz,best_on_off_condition,best_on_off_delta_hz,n_conditions_q05,review_category,review_priority
50,mua,239.6,9.3,mua,False,19797,1.0916081237336512,198,0.010002020610224288,44,44,120.0,240.0,2,3.1244277954101562,,,,0,likely_noise_or_multiunit,77
51,mua,156.2,28.6,mua,False,1119,0.06170174725756204,4,0.0035778175313059034,11,11,60.0,220.0,1,20.12674903869629,,,,0,likely_noise_or_multiunit,78
52,mua,108.5,9.6,mua,False,22527,1.2421405366140306,235,0.010432389239101482,107,107,0.0,220.0,4,2.280120372772217,,,,0,likely_noise_or_multiunit,79
53,mua,307.5,10.2,mua,False,25121,1.3851738988893798,546,0.021735668789808916,11,11,60.0,220.0,1,2.8812828063964844,,,,0,likely_noise_or_multiunit,80
54,mua,112.9,11.8,mua,False,63398,3.4957706636594446,7456,0.11760808871082228,75,75,180.0,220.0,3,3.5034561157226562,,,,0,likely_noise_or_multiunit,81
55,mua,110.7,12.1,mua,False,73253,4.03917613213422,8810,0.1202697537268607,75,75,180.0,220.0,3,3.6687536239624023,,,,0,likely_noise_or_multiunit,82
56,mua,115.3,10.1,mua,False,218288,12.036417341696787,10253,0.04697027308085227,11,11,60.0,220.0,1,5.160583019256592,,,,0,likely_noise_or_multiunit,83
57,mua,199.7,9.8,mua,False,34709,1.9138569665439866,857,0.024691713725942147,45,45,120.0,260.0,2,2.6673743724823,,,,0,likely_noise_or_multiunit,84
58,mua,279.5,9.2,mua,False,18024,0.993844765478372,223,0.012373078843699717,44,44,120.0,240.0,2,3.014875650405884,,,,0,likely_noise_or_multiunit,85
60,mua,124.1,9.7,mua,False,31798,1.7533441995495602,505,0.015882001446677358,109,109,0.0,260.0,4,2.6486124992370605,,,,0,likely_noise_or_multiunit,86
61,mua,327.4,11.2,mua,False,67705,3.7332589795113833,5565,0.08219602977667494,12,12,60.0,240.0,1,2.480041980743408,,,,0,likely_noise_or_multiunit,87
62,mua,268.1,9.5,mua,False,15610,0.8607366172390916,240,0.01537574476263694,77,77,180.0,260.0,3,3.2340049743652344,,,,0,likely_noise_or_multiunit,88
63,mua,55.6,13.8,mua,False,109482,6.036846017205011,1252,0.011435774243932738,77,77,180.0,260.0,3,6.217945575714111,,,,0,likely_noise_or_multiunit,89
64,mua,123.8,9.7,mua,False,61335,3.3820166827904985,1136,0.018521537809371637,109,109,0.0,260.0,4,3.100726842880249,,,,0,likely_noise_or_multiunit,90
65,mua,116.3,9.8,mua,False,59442,3.27763651517784,928,0.015612119580760754,45,45,120.0,260.0,2,3.793952465057373,,,,0,likely_noise_or_multiunit,91
67,mua,149.2,10.7,mua,False,149821,8.261141622766043,8124,0.05422507008410092,12,12,60.0,240.0,1,3.9855215549468994,,,,0,likely_noise_or_multiunit,92
68,mua,103.1,12.3,mua,False,55993,3.0874583862311633,6860,0.1225175025003572,79,79,180.0,300.0,3,4.06789493560791,,,,0,likely_noise_or_multiunit,93
69,mua,111.3,9.3,mua,False,15777,0.8699450102614444,140,0.008874239350912779,111,111,0.0,300.0,4,3.311331033706665,,,,0,likely_noise_or_multiunit,94
70,mua,105.0,11.0,mua,False,47182,2.6016191591655873,828,0.01754943727347873,15,15,60.0,300.0,1,6.275644302368164,,,,0,likely_noise_or_multiunit,95
71,mua,95.1,11.3,mua,False,210125,11.586308885161058,10673,0.05079381698425692,14,14,60.0,280.0,1,5.20718240737915,,,,0,likely_noise_or_multiunit,96
72,mua,208.4,9.2,mua,False,19594,1.0804146879040846,436,0.022252845403970805,47,47,120.0,300.0,2,3.38873291015625,,,,0,likely_noise_or_multiunit,97
74,mua,300.1,10.1,mua,False,20725,1.1427781160973847,593,0.028614167149198996,15,15,60.0,300.0,1,2.702826738357544,,,,0,likely_noise_or_multiunit,98
75,mua,69.1,9.5,mua,False,67090,3.6993478315548147,764,0.011387857920076317,111,111,0.0,300.0,4,3.5078368186950684,,,,0,likely_noise_or_multiunit,99
76,mua,114.9,10.5,mua,False,23836,1.3143188986874432,231,0.009691629955947136,15,15,60.0,300.0,1,6.133697509765625,,,,0,likely_noise_or_multiunit,100
77,mua,195.4,9.5,mua,False,27388,1.5101764556658706,559,0.020411143973418044,47,47,120.0,300.0,2,3.596386671066284,,,,0,likely_noise_or_multiunit,101
